COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
ALASKA,2026,Marie-Sophie,Boggasch,HEAD_COACH
ALASKA,2026,Kendra,McPheters,ASST_COACH
ALASKA,2026,Winter,Osborne,ASST_COACH
ALASKA,2025,Marie-Sophie,Boggasch,HEAD_COACH
ALASKA,2025,Kendra,McPheters,ASST_COACH
ALASKA,2025,Winter,Osborne,ASST_COACH
ALASKA,2024,Marie-Sophie,Boggasch,HEAD_COACH
ALASKA,2024,Kendra,McPheters,ASST_COACH
ALASKA,2024,Hannah,Hartung,ASST_COACH
ALASKA,2023,Marie-Sophie,Boggasch,HEAD_COACH
ALASKA,2023,Kendra,McPheters,ASST_COACH
ALASKA,2022,Marie-Sophie,Boggasch,HEAD_COACH
ALASKA,2022,Kendra,McPheters,ASST_COACH
ALASKA,2021,Marie-Sophie,Boggasch,HEAD_COACH
ALASKA,2021,Kendra,McPheters,ASST_COACH
ALASKA,2020,Tanya,Ho Gomez,HEAD_COACH
ALASKA,2020,Alina,Cartwright,VOLUNTEER_ASST_COACH
ALASKA,2020,Marie-Sophie,Boggasch,GRADUATE_ASST_COACH
ALASKA,2019,Tanya,Ho Gomez,HEAD_COACH
ALASKA,2019,Alina,Cartwright,ASST_COACH
ALASKA,2019,Marie-Sophie,Boggasch,GRADUATE_ASST_COACH
ALASKA,2018,Tanya,Ho Gomez,HEAD_COACH
ALASKA,2018,Alina,Cartwright,ASST_COACH
ALASKA,2017,Paul,Stoklos,HEAD_COACH
ALASKA,2017,Tami,Monette,ASST_COACH
ALASKA,2017,Alina,Cartwright,ASST_COACH
ALASKA,2016,Paul,Stoklos,HEAD_COACH
ALASKA,2016,Tami,Monette,ASST_COACH
ALASKA,2015,Paul,Stoklos,HEAD_COACH
ALASKA,2015,Tami,Monette,ASST_COACH
ALASKA,2015,Alyssa,Straub,GRADUATE_ASST_COACH
ALASKA,2014,Paul,Stoklos,HEAD_COACH
ALASKA,2014,Tami,Monette,ASST_COACH
ALASKA,2014,Jessica,Monette,ASST_COACH
ALASKA,2013,Paul,Stoklos,HEAD_COACH
ALASKA,2013,Tami,Monette,ASST_COACH
ALASKA,2013,Jessica,Monette,ASST_COACH
ALASKA,2012,Paul,Stoklos,HEAD_COACH
ALASKA,2012,Tami,Monette,ASST_COACH
ALASKA,2011,Paul,Stoklos,HEAD_COACH
ALASKA,2011,Tami,Monette,ASST_COACH
ALASKA,2010,Paul,Stoklos,HEAD_COACH
ALASKA,2010,Tami,Monette,ASST_COACH
ALASKA,2009,Paul,Stoklos,HEAD_COACH
ALASKA,2009,Tami,Monette,ASST_COACH
ALASKA,2008,Paul,Stoklos,HEAD_COACH
ALASKA,2008,Tami,Monette,ASST_COACH
ALASKA,2007,Paul,Stoklos,HEAD_COACH
ALASKA,2007,Tami,Monette,ASST_COACH
ALASKA,2006,Paul,Stoklos,HEAD_COACH
ALASKA,2006,Tami,Monette,ASST_COACH
ALASKA,2005,Paul,Stoklos,HEAD_COACH
ALASKA,2005,Tami,Monette,ASST_COACH
ALASKA,2004,Paul,Stoklos,HEAD_COACH
ALASKA,2004,Tami,Monette,ASST_COACH
ALASKA,2003,Paul,Stoklos,HEAD_COACH
ALASKA,2003,Tami,Monette,ASST_COACH
ALASKA,2002,Paul,Stoklos,HEAD_COACH
ALASKA,2002,Tami,Monette,ASST_COACH
ALASKA,2001,Paul,Stoklos,HEAD_COACH
ALASKA,2001,Tami,Monette,ASST_COACH
ALASKA,2000,Paul,Stoklos,HEAD_COACH
ALASKA,2000,Tami,Monette,ASST_COACH
ALASKA,1999,Paul,Stoklos,HEAD_COACH
ALASKA,1999,Tami,Monette,ASST_COACH
ALASKA,1998,Paul,Stoklos,HEAD_COACH
ALASKA,1998,Tami,Monette,ASST_COACH
ALASKA,1997,Paul,Stoklos,HEAD_COACH
ALASKA,1997,Tami,Monette,ASST_COACH
ALASKA,1996,Paul,Stoklos,HEAD_COACH
ALASKA,1996,Tami,Monette,ASST_COACH
ALASKA,1995,Paul,Stoklos,HEAD_COACH
ALASKA,1994,Paul,Stoklos,HEAD_COACH
ALASKA,1993,Paul,Stoklos,HEAD_COACH
ALASKA,1992,Paul,Stoklos,HEAD_COACH
ALASKA,1991,Paul,Stoklos,HEAD_COACH
ALASKA,1990,Paul,Stoklos,HEAD_COACH
ALASKA,1989,Paul,Stoklos,HEAD_COACH
ALASKA,1988,Paul,Stoklos,HEAD_COACH
ALASKA,1987,Paul,Stoklos,HEAD_COACH
ALASKA,1986,Paul,Stoklos,HEAD_COACH
ALASKA,1985,Paul,Stoklos,HEAD_COACH
