COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
ARIZONA,2026,John,Court,HEAD_COACH
ARIZONA,2026,Kylie,Kratchwell,ASSOC_HEAD_COACH
ARIZONA,2026,Shelby,Martinez,ASST_COACH
ARIZONA,2026,Jaime,Fernandez,ASST_COACH
ARIZONA,2025,John,Court,HEAD_COACH
ARIZONA,2025,Taylor,Spears,ASSOC_HEAD_COACH
ARIZONA,2025,Kylie,Kratchwell,ASST_COACH
ARIZONA,2025,Shelby,Martinez,ASST_COACH
ARIZONA,2024,John,Court,HEAD_COACH
ARIZONA,2024,Taylor,Spears,ASSOC_HEAD_COACH
ARIZONA,2024,Kylie,Kratchwell,ASST_COACH
ARIZONA,2024,Samantha,Yeoman,ASST_COACH
ARIZONA,2023,John,Court,HEAD_COACH
ARIZONA,2023,Taylor,Spears,ASSOC_HEAD_COACH
ARIZONA,2023,Dallas,Becerra,ASST_COACH
ARIZONA,2023,Kylie,Kratchwell,VOLUNTEER_ASST_COACH
ARIZONA,2022,John,Court,HEAD_COACH
ARIZONA,2022,Taylor,Spears,ASST_COACH
ARIZONA,2022,Peter,Jansson,ASST_COACH
ARIZONA,2022,Mary,Jansson,VOLUNTEER_ASST_COACH
ARIZONA,2021,John,Court,HEAD_COACH
ARIZONA,2021,Taylor,Spears,ASST_COACH
ARIZONA,2021,Peter,Jansson,ASST_COACH
ARIZONA,2020,John,Court,HEAD_COACH
ARIZONA,2020,Taylor,Spears,ASST_COACH
ARIZONA,2020,David,McCreary,ASST_COACH
ARIZONA,2019,John,Court,HEAD_COACH
ARIZONA,2019,Taylor,Spears,ASST_COACH
ARIZONA,2019,David,McCreary,ASST_COACH
ARIZONA,2018,John,Court,HEAD_COACH
ARIZONA,2018,David,McCreary,ASSOC_HEAD_COACH
ARIZONA,2018,Dianna,Ranelli,ASST_COACH
ARIZONA,2018,Andrea,Synder-Pedersen,VOLUNTEER_ASST_COACH
ARIZONA,2017,Tabitha,Yim,HEAD_COACH
ARIZONA,2017,John,Court,ASST_COACH
ARIZONA,2017,David,McCreary,ASST_COACH
ARIZONA,2017,Randi,Acosta,VOLUNTEER_ASST_COACH
ARIZONA,2016,Tabitha,Yim,HEAD_COACH
ARIZONA,2016,John,Court,ASST_COACH
ARIZONA,2016,David,McCreary,ASST_COACH
ARIZONA,2016,Randi,Acosta,VOLUNTEER_ASST_COACH
ARIZONA,2015,Bill,Ryden,HEAD_COACH
ARIZONA,2015,John,Court,ASSOC_HEAD_COACH
ARIZONA,2015,Meredith,Paulicivic,ASST_COACH
ARIZONA,2014,Bill,Ryden,HEAD_COACH
ARIZONA,2014,John,Court,ASSOC_HEAD_COACH
ARIZONA,2014,Randi,Acosta,ASST_COACH
ARIZONA,2013,Bill,Ryden,HEAD_COACH
ARIZONA,2013,John,Court,ASSOC_HEAD_COACH
ARIZONA,2013,Randi,Acosta,ASST_COACH
ARIZONA,2012,Bill,Ryden,HEAD_COACH
ARIZONA,2012,John,Court,ASSOC_HEAD_COACH
ARIZONA,2012,Randi,Acosta,ASST_COACH
ARIZONA,2011,Bill,Ryden,HEAD_COACH
ARIZONA,2011,John,Court,ASSOC_HEAD_COACH
ARIZONA,2011,Randi,Acosta,ASST_COACH
ARIZONA,2010,Colleen,Johnson,ASST_COACH
