COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
ARKANSAS,2025,Jordyn,Wieber,HEAD_COACH
ARKANSAS,2025,Catelyn,Branson,ASST_COACH
ARKANSAS,2025,Chris,Brooks,ASST_COACH
ARKANSAS,2025,Kyla,Ross,ASST_COACH
ARKANSAS,2025,Kiara,Gianfagna,GRADUATE_COACH
ARKANSAS,2024,Jordyn,Wieber,HEAD_COACH
ARKANSAS,2024,Kyla,Bryant,ASST_COACH
ARKANSAS,2024,Chris,Brooks,ASST_COACH
ARKANSAS,2024,Kyla,Ross,ASST_COACH
ARKANSAS,2023,Jordyn,Wieber,HEAD_COACH
ARKANSAS,2023,Chris,Brooks,ASST_COACH
ARKANSAS,2023,Kyla,Ross,ASST_COACH
ARKANSAS,2023,Jackie,Terpak,VOLUNTEER_ASST_COACH
ARKANSAS,2022,Jordyn,Wieber,HEAD_COACH
ARKANSAS,2022,Chris,Brooks,ASST_COACH
ARKANSAS,2022,Felicia,Hano,ASST_COACH
ARKANSAS,2022,Kyla,Ross,VOLUNTEER_ASST_COACH
ARKANSAS,2021,Jordyn,Wieber,HEAD_COACH
ARKANSAS,2021,Chris,Brooks,ASST_COACH
ARKANSAS,2021,Catelyn,Orel,ASST_COACH
ARKANSAS,2021,Felicia,Hano,VOLUNTEER_ASST_COACH
ARKANSAS,2020,Jordyn,Wieber,HEAD_COACH
ARKANSAS,2020,Chris,Brooks,ASST_COACH
ARKANSAS,2020,Catelyn,Orel,INTERIM_ASST_COACH
ARKANSAS,2019,Mark,Cook,HEAD_COACH
ARKANSAS,2019,Jaime,Armbrust,ASSOC_HEAD_COACH
ARKANSAS,2019,Garrett,Griffeth,ASSOC_HEAD_COACH
ARKANSAS,2019,Courtney,McCool Griffeth,VOLUNTEER_ASST_COACH
ARKANSAS,2018,Mark,Cook,HEAD_COACH
ARKANSAS,2018,Jaime,Armbrust,ASST_COACH
ARKANSAS,2018,Garrett,Griffeth,ASST_COACH
ARKANSAS,2018,Courtney,McCool Griffeth,VOLUNTEER_ASST_COACH
ARKANSAS,2017,Mark,Cook,HEAD_COACH
ARKANSAS,2017,Samantha,Snider,ASSOC_HEAD_COACH
ARKANSAS,2017,Jaime,Armbrust,ASST_COACH
ARKANSAS,2017,Ryan,Snider,VOLUNTEER_ASST_COACH
ARKANSAS,2016,Mark,Cook,HEAD_COACH
ARKANSAS,2016,Samantha,Snider,ASST_HEAD_COACH
ARKANSAS,2016,Jaime,Armbrust,ASST_COACH
ARKANSAS,2016,Ryan,Snider,VOLUNTEER_ASST_COACH
ARKANSAS,2015,Mark,Cook,HEAD_COACH
ARKANSAS,2015,Samantha,Snider,ASST_HEAD_COACH
ARKANSAS,2015,Jaime,Armbrust,ASST_COACH
ARKANSAS,2015,Ryan,Snider,VOLUNTEER_ASST_COACH
ARKANSAS,2009,Dave,Kuzara,ASST_COACH
ARKANSAS,2008,Dave,Kuzara,ASST_COACH
ARKANSAS,2007,Dave,Kuzara,ASST_COACH
