COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
BRIGHAMYOUNG,2026,Guard,Young,HEAD_COACH
BRIGHAMYOUNG,2026,Natalie,Broekman,ASSOC_HEAD_COACH
BRIGHAMYOUNG,2026,Brogan,Evanson,ASST_COACH
BRIGHAMYOUNG,2026,Warde,Allan,ASST_COACH
BRIGHAMYOUNG,2025,Guard,Young,HEAD_COACH
BRIGHAMYOUNG,2025,Natalie,Broekman,ASSOC_HEAD_COACH
BRIGHAMYOUNG,2025,Brogan,Evanson,ASST_COACH
BRIGHAMYOUNG,2025,Warde,Allan,ASST_COACH
BRIGHAMYOUNG,2024,Guard,Young,HEAD_COACH
BRIGHAMYOUNG,2024,Natalie,Broekman,ASSOC_HEAD_COACH
BRIGHAMYOUNG,2024,Brogan,Evanson,ASST_COACH
BRIGHAMYOUNG,2024,Warde,Allan,ASST_COACH
BRIGHAMYOUNG,2023,Guard,Young,HEAD_COACH
BRIGHAMYOUNG,2023,Natalie,Broekman,ASSOC_HEAD_COACH
BRIGHAMYOUNG,2023,Brogan,Evanson,ASST_COACH
BRIGHAMYOUNG,2022,Guard,Young,HEAD_COACH
BRIGHAMYOUNG,2022,Natalie,Broekman,ASSOC_HEAD_COACH
BRIGHAMYOUNG,2022,Brogan,Evanson,ASST_COACH
BRIGHAMYOUNG,2021,Guard,Young,HEAD_COACH
BRIGHAMYOUNG,2021,Natalie,Broekman,ASSOC_HEAD_COACH
BRIGHAMYOUNG,2021,Brogan,Evanson,ASST_COACH
BRIGHAMYOUNG,2020,Guard,Young,HEAD_COACH
BRIGHAMYOUNG,2020,Natalie,Broekman,ASSOC_HEAD_COACH
BRIGHAMYOUNG,2020,Brogan,Evanson,ASST_COACH
BRIGHAMYOUNG,2019,Guard,Young,HEAD_COACH
BRIGHAMYOUNG,2019,Natalie,Broekman,ASSOC_HEAD_COACH
BRIGHAMYOUNG,2019,Brogan,Evanson,ASST_COACH
BRIGHAMYOUNG,2018,Guard,Young,HEAD_COACH
BRIGHAMYOUNG,2018,Natalie,Broekman,ASSOC_HEAD_COACH
BRIGHAMYOUNG,2018,Brogan,Evanson,ASST_COACH
BRIGHAMYOUNG,2017,Guard,Young,HEAD_COACH
BRIGHAMYOUNG,2017,Natalie,Broekman,ASSOC_HEAD_COACH
BRIGHAMYOUNG,2017,Brogan,Evanson,ASST_COACH
BRIGHAMYOUNG,2016,Guard,Young,HEAD_COACH
BRIGHAMYOUNG,2016,Natalie,Broekman,ASSOC_HEAD_COACH
BRIGHAMYOUNG,2016,Brogan,Evanson,ASST_COACH

