COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
CLEMSON,2026,Justin,Howell,HEAD_COACH
CLEMSON,2026,Elisabeth,Crandall-Howell,HEAD_COACH
CLEMSON,2026,Jessie,McDonough,ASST_COACH
CLEMSON,2026,Luke,Wasson,ASST_COACH
CLEMSON,2025,Amy,Smith,HEAD_COACH
CLEMSON,2025,Erik,Lewis,ASSOC_HEAD_COACH
CLEMSON,2025,Maddy,Pluta,ASST_COACH
CLEMSON,2025,Justin,Reynolds,ASST_COACH
CLEMSON,2024,Amy,Smith,HEAD_COACH
CLEMSON,2024,Erik,Lewis,ASSOC_HEAD_COACH
CLEMSON,2024,Maddy,Hargrave,ASST_COACH
CLEMSON,2024,Justin,Reynolds,ASST_COACH
