COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
FLORIDA,2026,Jenny,Rowland,HEAD_COACH
FLORIDA,2026,Adrian,Burde,ASSOC_HEAD_COACH
FLORIDA,2026,Owen,Field,ASSOC_HEAD_COACH
FLORIDA,2026,Jeremy,Miranda,ASST_COACH
FLORIDA,2025,Jenny,Rowland,HEAD_COACH
FLORIDA,2025,Adrian,Burde,ASSOC_HEAD_COACH
FLORIDA,2025,Owen,Field,ASSOC_HEAD_COACH
FLORIDA,2025,Jeremy,Miranda,ASST_COACH
FLORIDA,2024,Jenny,Rowland,HEAD_COACH
FLORIDA,2024,Adrian,Burde,ASSOC_HEAD_COACH
FLORIDA,2024,Owen,Field,ASSOC_HEAD_COACH
FLORIDA,2024,Jeremy,Miranda,ASST_COACH
FLORIDA,2024,Trinity,Thomas,STUDENT_ASST_COACH
FLORIDA,2023,Jenny,Rowland,HEAD_COACH
FLORIDA,2023,Adrian,Burde,ASSOC_HEAD_COACH
FLORIDA,2023,Owen,Field,ASST_COACH
FLORIDA,2023,Jeremy,Miranda,ASST_COACH
FLORIDA,2022,Jenny,Rowland,HEAD_COACH
FLORIDA,2022,Adrian,Burde,ASSOC_HEAD_COACH
FLORIDA,2022,Owen,Field,ASST_COACH
FLORIDA,2022,Jeremy,Miranda,VOLUNTEER_COACH
FLORIDA,2021,Jenny,Rowland,HEAD_COACH
FLORIDA,2021,Adrian,Burde,ASST_COACH
FLORIDA,2021,Owen,Field,ASST_COACH
FLORIDA,2021,Jeremy,Miranda,VOLUNTEER_COACH
FLORIDA,2020,Jenny,Rowland,HEAD_COACH
FLORIDA,2020,Adrian,Burde,ASST_COACH
FLORIDA,2020,Owen,Field,ASST_COACH
FLORIDA,2020,Jeremy,Miranda,VOLUNTEER_COACH
FLORIDA,2019,Jenny,Rowland,HEAD_COACH
FLORIDA,2019,Adrian,Burde,ASST_COACH
FLORIDA,2019,Owen,Field,ASST_COACH
FLORIDA,2019,Jeremy,Miranda,VOLUNTEER_COACH
FLORIDA,2019,Vanasia,Bradley,STUDENT_COACH
FLORIDA,2018,Jenny,Rowland,HEAD_COACH
FLORIDA,2018,Adrian,Burde,ASST_COACH
FLORIDA,2018,Owen,Field,ASST_COACH
FLORIDA,2018,Jeremy,Miranda,VOLUNTEER_COACH
FLORIDA,2018,Vanasia,Bradley,STUDENT_COACH
FLORIDA,2017,Jenny,Rowland,HEAD_COACH
FLORIDA,2017,Adrian,Burde,ASST_COACH
FLORIDA,2017,Owen,Field,ASST_COACH
FLORIDA,2017,Jeremy,Miranda,VOLUNTEER_COACH
FLORIDA,2016,Jenny,Rowland,HEAD_COACH
FLORIDA,2016,Adrian,Burde,ASST_COACH
FLORIDA,2016,Owen,Field,ASST_COACH
FLORIDA,2016,Jeremy,Miranda,VOLUNTEER_COACH
FLORIDA,2015,Rhonda,Faehn,HEAD_COACH
FLORIDA,2015,Adrian,Burde,ASST_COACH
FLORIDA,2015,Owen,Field,ASST_COACH
FLORIDA,2015,Jeremy,Miranda,VOLUNTEER_COACH
FLORIDA,2014,Rhonda,Faehn,HEAD_COACH
FLORIDA,2014,Adrian,Burde,ASST_COACH
FLORIDA,2014,Robert,Ladanyi,ASST_COACH
FLORIDA,2014,Jeremy,Miranda,VOLUNTEER_COACH
FLORIDA,2013,Rhonda,Faehn,HEAD_COACH
FLORIDA,2013,Adrian,Burde,ASST_COACH
FLORIDA,2013,Robert,Ladanyi,ASST_COACH
FLORIDA,2013,Jeremy,Miranda,VOLUNTEER_COACH
FLORIDA,2012,Rhonda,Faehn,HEAD_COACH
FLORIDA,2012,Adrian,Burde,ASST_COACH
FLORIDA,2012,Robert,Ladanyi,ASST_COACH
FLORIDA,2012,Jeremy,Miranda,VOLUNTEER_COACH
FLORIDA,2011,Rhonda,Faehn,HEAD_COACH
FLORIDA,2011,Adrian,Burde,ASST_COACH
FLORIDA,2011,Robert,Ladanyi,ASST_COACH
FLORIDA,2011,Jeremy,Miranda,VOLUNTEER_COACH
FLORIDA,2010,Rhonda,Faehn,HEAD_COACH
FLORIDA,2010,Robert,Ladanyi,ASST_COACH
FLORIDA,2010,Adrian,Burde,ASST_COACH
FLORIDA,2010,Jeremy,Miranda,VOLUNTEER_COACH
FLORIDA,2009,Rhonda,Faehn,HEAD_COACH
FLORIDA,2009,Adrian,Burde,ASST_COACH
FLORIDA,2009,Robert,Ladanyi,ASST_COACH
FLORIDA,2009,Jeremy,Miranda,VOLUNTEER_COACH
FLORIDA,2008,Rhonda,Faehn,HEAD_COACH
FLORIDA,2008,Adrian,Burde,ASST_COACH
FLORIDA,2008,Robert,Ladanyi,ASST_COACH
FLORIDA,2008,Jeremy,Miranda,VOLUNTEER_COACH
FLORIDA,2007,Rhonda,Faehn,HEAD_COACH
FLORIDA,2007,Adrian,Burde,ASST_COACH
FLORIDA,2007,Robert,Ladanyi,ASST_COACH
FLORIDA,2006,Rhonda,Faehn,HEAD_COACH
FLORIDA,2006,Randy,Lane,ASST_COACH
FLORIDA,2006,Robert,Ladanyi,ASST_COACH
FLORIDA,2005,Rhonda,Faehn,HEAD_COACH
FLORIDA,2005,Randy,Lane,ASST_COACH
FLORIDA,2005,Louis,Robinson,ASST_COACH
FLORIDA,2004,Rhonda,Faehn,HEAD_COACH
FLORIDA,2004,Randy,Lane,ASST_COACH
FLORIDA,2004,Louis,Robinson,ASST_COACH
FLORIDA,2003,Rhonda,Faehn,HEAD_COACH
FLORIDA,2003,Randy,Lane,ASST_COACH
FLORIDA,2003,Paul,Columbo,ASST_COACH
FLORIDA,2002,Judi,Markell,HEAD_COACH
FLORIDA,2002,Paul,Columbo,ASST_COACH
FLORIDA,2002,Milan,Stanovich,ASST_COACH
FLORIDA,2001,Judi,Markell,HEAD_COACH
FLORIDA,2001,Paul,Columbo,ASST_COACH
FLORIDA,2001,Milan,Stanovich,ASST_COACH
FLORIDA,2000,Judi,Markell,HEAD_COACH
FLORIDA,2000,Paul,Columbo,ASST_COACH
FLORIDA,2000,Milan,Stanovich,ASST_COACH
FLORIDA,1999,Judi,Markell,HEAD_COACH
FLORIDA,1999,Bob,Moore,ASST_COACH
FLORIDA,1999,Dennis,Harrison,ASST_COACH
FLORIDA,1998,Judi,Markell,HEAD_COACH
FLORIDA,1998,Bob,Moore,ASST_COACH
FLORIDA,1998,Dennis,Harrison,ASST_COACH
FLORIDA,1997,Judi,Markell,HEAD_COACH
FLORIDA,1997,Bob,Moore,ASST_COACH
FLORIDA,1997,Brad,Wunderlich,ASST_COACH
FLORIDA,1996,Judi,Markell,HEAD_COACH
FLORIDA,1996,Bob,Moore,ASST_COACH
FLORIDA,1996,Brad,Wunderlich,ASST_COACH
FLORIDA,1995,Judi,Markell,HEAD_COACH
FLORIDA,1995,Bob,Moore,ASST_COACH
FLORIDA,1995,Brad,Wunderlich,ASST_COACH
FLORIDA,1994,Judi,Markell,HEAD_COACH
FLORIDA,1994,Bob,Moore,ASST_COACH
FLORIDA,1994,Brad,Wunderlich,ASST_COACH
FLORIDA,1993,Judi,Markell,HEAD_COACH
FLORIDA,1992,Ernestine,Weaver,HEAD_COACH
FLORIDA,1991,Ernestine,Weaver,HEAD_COACH
FLORIDA,1990,Ernestine,Weaver,HEAD_COACH
FLORIDA,1989,Ernestine,Weaver,HEAD_COACH
FLORIDA,1988,Ernestine,Weaver,HEAD_COACH
FLORIDA,1987,Ernestine,Weaver,HEAD_COACH
FLORIDA,1986,Ernestine,Weaver,HEAD_COACH
FLORIDA,1985,Ernestine,Weaver,HEAD_COACH
FLORIDA,1985,Sharon,Valley,ASST_COACH
FLORIDA,1984,Ernestine,Weaver,HEAD_COACH
FLORIDA,1983,Ernestine,Weaver,HEAD_COACH
FLORIDA,1982,Ernestine,Weaver,HEAD_COACH
FLORIDA,1981,Ernestine,Weaver,HEAD_COACH
FLORIDA,1980,Ernestine,Weaver,HEAD_COACH
