COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
GEORGIA,2025,Cécile,Canqueteau-Landi,HEAD_COACH
GEORGIA,2025,Ryan,Roberts,HEAD_COACH
GEORGIA,2025,Oleksii,Koltakov,ASST_COACH
GEORGIA,2025,Marissa,King,ASST_COACH
GEORGIA,2024,Courtney,Kupets Carter,HEAD_COACH
GEORGIA,2024,Ryan,Roberts,ASST_COACH
GEORGIA,2024,Sam,Welbourn,ASST_COACH
GEORGIA,2024,Mollie,Korth,ASST_COACH
GEORGIA,2024,Jacquie,Moran,STUDENT_COACH
GEORGIA,2023,Courtney,Kupets Carter,HEAD_COACH
GEORGIA,2023,Ryan,Roberts,ASST_COACH
GEORGIA,2023,Sam,Welbourn,INTERIM_ASST_COACH
GEORGIA,2023,Mollie,Korth,VOLUNTEER_ASST_COACH
GEORGIA,2022,Courtney,Kupets Carter,HEAD_COACH
GEORGIA,2022,Josh,Overton,ASST_COACH
GEORGIA,2022,Jason,Vonk,ASST_COACH
GEORGIA,2022,Katie,Heenan Dodson,VOLUNTEER_ASST_COACH
GEORGIA,2021,Courtney,Kupets Carter,HEAD_COACH
GEORGIA,2021,Josh,Overton,ASST_COACH
GEORGIA,2021,Jason,Vonk,ASST_COACH
GEORGIA,2021,Katie,Heenan Dodson,VOLUNTEER_ASST_COACH
GEORGIA,2020,Courtney,Kupets Carter,HEAD_COACH
GEORGIA,2020,Josh,Overton,ASST_COACH
GEORGIA,2020,Jason,Vonk,ASST_COACH
GEORGIA,2020,Katie,Heenan Dodson,VOLUNTEER_ASST_COACH
GEORGIA,2019,Courtney,Kupets Carter,HEAD_COACH
GEORGIA,2019,Josh,Overton,ASST_COACH
GEORGIA,2019,Jason,Vonk,ASST_COACH
GEORGIA,2019,Katie,Heenan Dodson,VOLUNTEER_ASST_COACH
GEORGIA,2018,Courtney,Kupets Carter,HEAD_COACH
GEORGIA,2018,Josh,Overton,ASST_COACH
GEORGIA,2018,Jason,Vonk,ASST_COACH
GEORGIA,2018,Suzanne,Yoculan Leebern,VOLUNTEER_ASST_COACH
GEORGIA,2017,Courtney,Kupets Carter,HEAD_COACH
GEORGIA,2017,Josh,Overton,ASST_COACH
GEORGIA,2017,Suzanne,Yoculan Leebern,VOLUNTEER_ASST_COACH
