COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
ILLINOISSTATE,2026,Cassandra,Ringer,HEAD_COACH
ILLINOISSTATE,2026,Kendra,Combs,ASST_COACH
ILLINOISSTATE,2026,Adeline,Kenlin,ASST_COACH
ILLINOISSTATE,2025,Bob,Conkling,HEAD_COACH
ILLINOISSTATE,2025,Kendra,Combs,ASST_COACH
ILLINOISSTATE,2025,Megan,Harrington,ASST_COACH
ILLINOISSTATE,2024,Bob,Conkling,HEAD_COACH
ILLINOISSTATE,2024,Kendra,Combs,ASST_COACH
ILLINOISSTATE,2024,Megan,Harrington,ASST_COACH
ILLINOISSTATE,2023,Bob,Conkling,HEAD_COACH
ILLINOISSTATE,2023,Megan,Harrington,ASST_COACH
ILLINOISSTATE,2023,Jessica,Yamzon,ASST_COACH
ILLINOISSTATE,2022,Bob,Conkling,HEAD_COACH
ILLINOISSTATE,2022,Megan,Harrington,ASST_COACH
ILLINOISSTATE,2021,Bob,Conkling,HEAD_COACH
ILLINOISSTATE,2021,Chris,Muras,ASST_COACH
ILLINOISSTATE,2021,Megan,Harrington,ASST_COACH
ILLINOISSTATE,2019,Bob,Conkling,HEAD_COACH
ILLINOISSTATE,2019,Steve,Avgerinos,ASSOC_HEAD_COACH
ILLINOISSTATE,2019,Megan,Harrington,ASST_COACH
ILLINOISSTATE,2018,Bob,Conkling,HEAD_COACH
ILLINOISSTATE,2018,Steve,Avgerinos,ASSOC_HEAD_COACH
ILLINOISSTATE,2017,Bob,Conkling,HEAD_COACH
ILLINOISSTATE,2017,Steve,Avgerinos,ASSOC_HEAD_COACH
ILLINOISSTATE,2017,Andrea,Orris,ASST_COACH
ILLINOISSTATE,2015,Andrea,Orris,ASST_COACH
