COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
IOWA,2026,Jen,Llewellyn,HEAD_COACH
IOWA,2026,Craig,Ballard,ASST_COACH
IOWA,2026,Brenna,Brooks,ASST_COACH
IOWA,2026,Kyle,Grable,ASST_COACH
IOWA,2025,Jen,Llewellyn,HEAD_COACH
IOWA,2025,Craig,Ballard,ASST_COACH
IOWA,2025,Brenna,Brooks,ASST_COACH
IOWA,2025,Kyle,Grable,ASST_COACH
IOWA,2024,Larissa,Libby,HEAD_COACH
IOWA,2024,Quest,Hayden,ASST_COACH
IOWA,2024,Jessa,Hansen Parker,ASST_COACH
IOWA,2024,Rachel,David,ASST_COACH
IOWA,2023,Larissa,Libby,HEAD_COACH
IOWA,2023,Quest,Hayden,ASST_COACH
IOWA,2023,Jessa,Hansen Parker,ASST_COACH
IOWA,2023,Rachel,David,VOLUNTEER_ASST_COACH
IOWA,2022,Larissa,Libby,HEAD_COACH
IOWA,2022,Quest,Hayden,ASST_COACH
IOWA,2022,Jessa,Hansen Parker,ASST_COACH
IOWA,2022,Rachel,David,VOLUNTEER_ASST_COACH
IOWA,2021,Larissa,Libby,HEAD_COACH
IOWA,2021,Quest,Hayden,ASST_COACH
IOWA,2021,Jessa,Hansen Parker,ASST_COACH
IOWA,2021,Vince,Smurro,ASST_COACH
IOWA,2020,Larissa,Libby,HEAD_COACH
IOWA,2020,Vince,Smurro,ASST_COACH
IOWA,2020,Jennifer,Green,ASST_COACH
IOWA,2020,Rachel,David,VOLUNTEER_ASST_COACH
IOWA,2020,Charlotte,Sullivan,STUDENT_COACH
IOWA,2019,Larissa,Libby,HEAD_COACH
IOWA,2019,Vince,Smurro,ASST_COACH
IOWA,2019,Jennifer,Green,ASST_COACH
IOWA,2018,Larissa,Libby,HEAD_COACH
IOWA,2018,Vince,Smurro,ASST_COACH
IOWA,2018,Jennifer,Green,ASST_COACH
IOWA,2017,Larissa,Libby,HEAD_COACH
IOWA,2017,Vince,Smurro,ASST_COACH
IOWA,2017,Jennifer,Green,ASST_COACH
IOWA,2016,Larissa,Libby,HEAD_COACH
IOWA,2016,Jennifer,Green,ASST_COACH
IOWA,2015,Larissa,Libby,HEAD_COACH
IOWA,2015,Jennifer,Green,ASST_COACH
IOWA,2015,Caleb,Phillips,ASST_COACH
IOWA,2014,Larissa,Libby,HEAD_COACH
IOWA,2014,Jennifer,Green,ASST_COACH
IOWA,2013,Larissa,Libby,HEAD_COACH
IOWA,2013,Caleb,Phillips,ASST_COACH
IOWA,2012,Larissa,Libby,HEAD_COACH
IOWA,2012,Caleb,Phillips,ASST_COACH
IOWA,2011,Larissa,Libby,HEAD_COACH
IOWA,2011,Caleb,Phillips,ASST_COACH
IOWA,2010,Larissa,Libby,HEAD_COACH
IOWA,2010,Caleb,Phillips,ASST_COACH
IOWA,2009,Larissa,Libby,HEAD_COACH
IOWA,2009,Caleb,Phillips,ASST_COACH
