COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
KENTSTATE,2026,Brice,Biggin,HEAD_COACH
KENTSTATE,2026,Austyn,Fobes,ASST_COACH
KENTSTATE,2026,Tim,Levandowski,ASST_COACH
KENTSTATE,2025,Brice,Biggin,HEAD_COACH
KENTSTATE,2025,Austyn,Fobes,ASST_COACH
KENTSTATE,2025,Tim,Levandowski,ASST_COACH
KENTSTATE,2024,Brice,Biggin,HEAD_COACH
KENTSTATE,2024,Craig,Ballard,ASST_COACH
KENTSTATE,2024,Josie,Angeny,ASST_COACH
KENTSTATE,2023,Brice,Biggin,HEAD_COACH
KENTSTATE,2023,Sharon,Sabin,ASST_COACH
KENTSTATE,2023,Craig,Ballard,ASST_COACH
KENTSTATE,2022,Brice,Biggin,HEAD_COACH
KENTSTATE,2022,Sharon,Sabin,ASST_COACH
KENTSTATE,2022,Craig,Ballard,ASST_COACH
KENTSTATE,2021,Brice,Biggin,HEAD_COACH
KENTSTATE,2021,Sharon,Sabin,ASST_COACH
KENTSTATE,2021,Craig,Ballard,ASST_COACH
KENTSTATE,2020,Brice,Biggin,HEAD_COACH
KENTSTATE,2020,Sharon,Sabin,ASST_COACH
KENTSTATE,2020,Craig,Ballard,ASST_COACH
KENTSTATE,2019,Brice,Biggin,HEAD_COACH
KENTSTATE,2019,Sharon,Sabin,ASST_COACH
KENTSTATE,2019,Craig,Ballard,ASST_COACH
KENTSTATE,2018,Brice,Biggin,HEAD_COACH
KENTSTATE,2018,Sharon,Sabin,ASST_COACH
KENTSTATE,2018,Craig,Ballard,ASST_COACH
KENTSTATE,2017,Brice,Biggin,HEAD_COACH
KENTSTATE,2017,Sharon,Sabin,ASST_COACH
KENTSTATE,2017,Craig,Ballard,ASST_COACH
KENTSTATE,2016,Brice,Biggin,HEAD_COACH
KENTSTATE,2016,Sharon,Sabin,ASST_COACH
KENTSTATE,2016,Craig,Ballard,ASST_COACH
KENTSTATE,2015,Brice,Biggin,HEAD_COACH
KENTSTATE,2015,Sharon,Sabin,ASST_COACH
KENTSTATE,2015,Craig,Ballard,ASST_COACH
KENTSTATE,2015,Marie,Case,VOLUNTEER_ASST_COACH
KENTSTATE,2014,Brice,Biggin,HEAD_COACH
KENTSTATE,2014,Sharon,Sabin,ASST_COACH
KENTSTATE,2014,Craig,Ballard,ASST_COACH
