COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
KENTUCKY,2026,Tim,Garrison,HEAD_COACH
KENTUCKY,2026,Rachel,Garrison,ASSOC_HEAD_COACH
KENTUCKY,2026,Chad,Wiest,ASST_COACH
KENTUCKY,2025,Tim,Garrison,HEAD_COACH
KENTUCKY,2025,Rachel,Garrison,ASSOC_HEAD_COACH
KENTUCKY,2025,Chad,Wiest,ASST_COACH
KENTUCKY,2025,Raena,Worley,ASST_COACH
KENTUCKY,2024,Tim,Garrison,HEAD_COACH
KENTUCKY,2024,Rachel,Garrison,ASSOC_HEAD_COACH
KENTUCKY,2024,Chad,Wiest,ASST_COACH
KENTUCKY,2023,Tim,Garrison,HEAD_COACH
KENTUCKY,2023,Rachel,Garrison,ASSOC_HEAD_COACH
KENTUCKY,2023,Chad,Wiest,ASST_COACH
KENTUCKY,2023,Anna,Haigis,VOLUNTEER_ASST_COACH
KENTUCKY,2022,Tim,Garrison,HEAD_COACH
KENTUCKY,2022,Rachel,Garrison,ASSOC_HEAD_COACH
KENTUCKY,2022,Chad,Wiest,ASST_COACH
KENTUCKY,2021,Tim,Garrison,HEAD_COACH
KENTUCKY,2021,Rachel,Garrison,ASSOC_HEAD_COACH
KENTUCKY,2020,Tim,Garrison,HEAD_COACH
KENTUCKY,2020,Rachel,Garrison,ASSOC_HEAD_COACH
KENTUCKY,2019,Tim,Garrison,HEAD_COACH
KENTUCKY,2019,Rachel,Garrison,ASSOC_HEAD_COACH
KENTUCKY,2018,Tim,Garrison,HEAD_COACH
KENTUCKY,2018,Rachel,Garrison,ASST_COACH
KENTUCKY,2017,Tim,Garrison,HEAD_COACH
KENTUCKY,2017,Rachel,Garrison,ASST_COACH
KENTUCKY,2016,Tim,Garrison,HEAD_COACH
KENTUCKY,2016,Rachel,Garrison,ASST_COACH
KENTUCKY,2015,Tim,Garrison,HEAD_COACH
KENTUCKY,2015,Rachel,Garrison,ASST_COACH
KENTUCKY,2014,Tim,Garrison,HEAD_COACH
KENTUCKY,2014,Rachel,Garrison,VOLUNTEER_ASST_COACH
KENTUCKY,2013,Tim,Garrison,HEAD_COACH
KENTUCKY,2013,Rachel,Garrison,VOLUNTEER_ASST_COACH
KENTUCKY,2012,Tim,Garrison,HEAD_COACH
KENTUCKY,2012,Rachel,Garrison,VOLUNTEER_ASST_COACH
KENTUCKY,2006,Tom,Haley,ASST_COACH
KENTUCKY,2005,Tom,Haley,ASST_COACH
