COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
LSU,2026,Jay,Clark,HEAD_COACH
LSU,2026,Courtney,McCool Griffeth,ASSOC_HEAD_COACH
LSU,2026,Garrett,Griffeth,ASSOC_HEAD_COACH
LSU,2026,Haleigh,Bryant,ASST_COACH
LSU,2025,Jay,Clark,HEAD_COACH
LSU,2025,Courtney,McCool Griffeth,ASSOC_HEAD_COACH
LSU,2025,Garrett,Griffeth,ASST_COACH
LSU,2025,Ashleigh,Gnat,ASST_COACH
LSU,2024,Jay,Clark,HEAD_COACH
LSU,2024,Courtney,McCool Griffeth,ASST_COACH
LSU,2024,Garrett,Griffeth,ASST_COACH
LSU,2024,Ashleigh,Gnat,ASST_COACH
LSU,2023,Jay,Clark,HEAD_COACH
LSU,2023,Courtney,McCool Griffeth,ASST_COACH
LSU,2023,Garrett,Griffeth,ASST_COACH
LSU,2023,Ashleigh,Gnat,ASST_COACH
LSU,2022,Jay,Clark,HEAD_COACH
LSU,2022,Courtney,McCool Griffeth,ASST_COACH
LSU,2022,Garrett,Griffeth,ASST_COACH
LSU,2022,Ashleigh,Gnat,ASST_COACH
LSU,2021,Jay,Clark,HEAD_COACH
LSU,2021,Courtney,McCool Griffeth,ASST_COACH
LSU,2021,Garrett,Griffeth,ASST_COACH
LSU,2021,Ashleigh,Gnat,ASST_COACH
LSU,2021,Ashleigh,Clare-Kearney Thigpen,VOLUNTEER_COACH
LSU,2020,D-D,Breaux,HEAD_COACH
LSU,2020,Jay,Clark,HEAD_COACH
LSU,2020,Bob,Moore,ASST_COACH
LSU,2020,Ashleigh,Clare-Kearney Thigpen,VOLUNTEER_COACH
LSU,2019,D-D,Breaux,HEAD_COACH
LSU,2019,Jay,Clark,ASSOC_HEAD_COACH
LSU,2019,Bob,Moore,ASST_COACH
LSU,2019,Ashleigh,Gnat,STUDENT_ASST_COACH
LSU,2019,Ashleigh,Clare-Kearney Thigpen,VOLUNTEER_COACH
LSU,2018,D-D,Breaux,HEAD_COACH
LSU,2018,Jay,Clark,ASSOC_HEAD_COACH
LSU,2018,Bob,Moore,ASST_COACH
LSU,2018,Ashleigh,Gnat,STUDENT_ASST_COACH
LSU,2018,Ashleigh,Clare-Kearney Thigpen,VOLUNTEER_COACH
LSU,2017,D-D,Breaux,HEAD_COACH
LSU,2017,Jay,Clark,ASSOC_HEAD_COACH
LSU,2017,Bob,Moore,ASST_COACH
LSU,2017,Ashleigh,Clare-Kearney Thigpen,VOLUNTEER_COACH
LSU,2016,D-D,Breaux,HEAD_COACH
LSU,2016,Jay,Clark,ASSOC_HEAD_COACH
LSU,2016,Bob,Moore,ASST_COACH
LSU,2016,Ashleigh,Clare-Kearney Thigpen,VOLUNTEER_COACH
LSU,2015,D-D,Breaux,HEAD_COACH
LSU,2015,Jay,Clark,ASSOC_HEAD_COACH
LSU,2015,Bob,Moore,ASST_COACH
LSU,2015,Ashleigh,Clare-Kearney Thigpen,VOLUNTEER_COACH
LSU,2014,D-D,Breaux,HEAD_COACH
LSU,2014,Jay,Clark,ASSOC_HEAD_COACH
LSU,2014,Bob,Moore,ASST_COACH
LSU,2014,Ashleigh,Clare-Kearney Thigpen,VOLUNTEER_COACH
LSU,2013,D-D,Breaux,HEAD_COACH
LSU,2013,Jay,Clark,ASSOC_HEAD_COACH
LSU,2013,Bob,Moore,ASST_COACH
LSU,2013,Ashleigh,Clare-Kearney Thigpen,VOLUNTEER_COACH
LSU,2012,D-D,Breaux,HEAD_COACH
LSU,2012,Philip,Ogletree,ASST_COACH
LSU,2012,Bob,Moore,ASST_COACH
LSU,2012,Ashleigh,Clare-Kearney Thigpen,VOLUNTEER_COACH
LSU,2011,D-D,Breaux,HEAD_COACH
LSU,2011,Philip,Ogletree,ASST_COACH
LSU,2011,Bob,Moore,ASST_COACH
LSU,2011,Ashleigh,Clare-Kearney Thigpen,VOLUNTEER_COACH
LSU,2010,D-D,Breaux,HEAD_COACH
LSU,2010,Philip,Ogletree,ASST_COACH
LSU,2010,Bob,Moore,ASST_COACH
LSU,2009,D-D,Breaux,HEAD_COACH
LSU,2009,Philip,Ogletree,ASST_COACH
LSU,2009,Bob,Moore,ASST_COACH
LSU,2008,D-D,Breaux,HEAD_COACH
LSU,2008,Philip,Ogletree,ASST_COACH
LSU,2008,Bob,Moore,ASST_COACH
LSU,2007,D-D,Breaux,HEAD_COACH
LSU,2007,Philip,Ogletree,ASST_COACH
LSU,2007,Bob,Moore,ASST_COACH
LSU,2006,D-D,Breaux,HEAD_COACH
LSU,2006,Philip,Ogletree,ASST_COACH
LSU,2006,Bob,Moore,ASST_COACH
LSU,2005,D-D,Breaux,HEAD_COACH
LSU,2005,Philip,Ogletree,ASST_COACH
LSU,2005,Bob,Moore,ASST_COACH
LSU,2004,D-D,Breaux,HEAD_COACH
LSU,2004,Philip,Ogletree,ASST_COACH
LSU,2004,Bob,Moore,ASST_COACH
LSU,2003,D-D,Breaux,HEAD_COACH
LSU,2003,Philip,Ogletree,ASST_COACH
LSU,2003,Bob,Moore,ASST_COACH
LSU,2002,D-D,Breaux,HEAD_COACH
LSU,2002,Philip,Ogletree,ASST_COACH
LSU,2002,Bob,Moore,ASST_COACH
LSU,2001,D-D,Breaux,HEAD_COACH
LSU,2001,Philip,Ogletree,ASST_COACH
LSU,2001,Bob,Moore,ASST_COACH
LSU,2000,D-D,Breaux,HEAD_COACH
LSU,2000,Bob,Moore,ASST_COACH
LSU,1999,D-D,Breaux,HEAD_COACH
LSU,1998,D-D,Breaux,HEAD_COACH
LSU,1997,D-D,Breaux,HEAD_COACH
LSU,1996,D-D,Breaux,HEAD_COACH
LSU,1995,D-D,Breaux,HEAD_COACH
LSU,1994,D-D,Breaux,HEAD_COACH
LSU,1993,D-D,Breaux,HEAD_COACH
LSU,1992,D-D,Breaux,HEAD_COACH
LSU,1991,D-D,Breaux,HEAD_COACH
LSU,1990,D-D,Breaux,HEAD_COACH
LSU,1989,D-D,Breaux,HEAD_COACH
LSU,1988,D-D,Breaux,HEAD_COACH
LSU,1987,D-D,Breaux,HEAD_COACH
LSU,1986,D-D,Breaux,HEAD_COACH
LSU,1985,D-D,Breaux,HEAD_COACH
LSU,1984,D-D,Breaux,HEAD_COACH
LSU,1983,D-D,Breaux,HEAD_COACH
LSU,1982,D-D,Breaux,HEAD_COACH
LSU,1981,D-D,Breaux,HEAD_COACH
LSU,1980,D-D,Breaux,HEAD_COACH
LSU,1979,D-D,Breaux,HEAD_COACH
LSU,1978,D-D,Breaux,HEAD_COACH
