COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
MINNESOTA,2026,Jenny,Hansen,HEAD_COACH
MINNESOTA,2026,Sam,Scherwinski,ASSOC_HEAD_COACH
MINNESOTA,2026,Kiki,Parenteau,ASST_COACH
MINNESOTA,2026,Mya,Hooten,ASST_COACH
MINNESOTA,2026,Anahit,Assadourian,STUDENT_COACH
MINNESOTA,2025,Jenny,Hansen,HEAD_COACH
MINNESOTA,2025,Rich,Stenger,ASSOC_HEAD_COACH
MINNESOTA,2025,Geralen,Stack-Eaton,ASST_COACH
MINNESOTA,2025,Kiki,Parenteau,ASST_COACH
MINNESOTA,2024,Jenny,Hansen,HEAD_COACH
MINNESOTA,2024,Rich,Stenger,ASSOC_HEAD_COACH
MINNESOTA,2024,Geralen,Stack-Eaton,ASST_COACH
MINNESOTA,2024,Kiki,Parenteau,ASST_COACH
MINNESOTA,2023,Jenny,Hansen,HEAD_COACH
MINNESOTA,2023,Rich,Stenger,ASSOC_HEAD_COACH
MINNESOTA,2023,Geralen,Stack-Eaton,ASST_COACH
MINNESOTA,2023,Kiki,Parenteau,ASST_COACH
MINNESOTA,2022,Jenny,Hansen,HEAD_COACH
MINNESOTA,2022,Rich,Stenger,ASSOC_HEAD_COACH
MINNESOTA,2022,Geralen,Stack-Eaton,ASST_COACH
MINNESOTA,2022,Kiki,Parenteau,VOLUNTEER_ASST_COACH
MINNESOTA,2021,Jenny,Hansen,HEAD_COACH
MINNESOTA,2021,Rich,Stenger,ASSOC_HEAD_COACH
MINNESOTA,2021,Geralen,Stack-Eaton,ASST_COACH
MINNESOTA,2021,Hannah,Hitchcock,VOLUNTEER_ASST_COACH
MINNESOTA,2020,Jenny,Hansen,HEAD_COACH
MINNESOTA,2020,Rich,Stenger,ASSOC_HEAD_COACH
MINNESOTA,2020,Geralen,Stack-Eaton,ASST_COACH
MINNESOTA,2020,Hannah,Hitchcock,VOLUNTEER_ASST_COACH
MINNESOTA,2019,Jenny,Hansen,HEAD_COACH
MINNESOTA,2019,Rich,Stenger,ASSOC_HEAD_COACH
MINNESOTA,2019,Geralen,Stack-Eaton,ASST_COACH
MINNESOTA,2019,Hannah,Hitchcock,GRADUATE_ASST_COACH
MINNESOTA,2018,Jenny,Hansen,HEAD_COACH
MINNESOTA,2018,Rich,Stenger,ASSOC_HEAD_COACH
MINNESOTA,2018,Geralen,Stack-Eaton,ASST_COACH
MINNESOTA,2018,Ryan,Stach,STUDENT_ASST_COACH
MINNESOTA,2017,Jenny,Hansen,HEAD_COACH
MINNESOTA,2017,Rich,Stenger,ASST_COACH
MINNESOTA,2017,Geralen,Stack-Eaton,ASST_COACH
MINNESOTA,2017,Bailee,Zumwalde,VOLUNTEER_ASST_COACH
MINNESOTA,2016,Jenny,Hansen,HEAD_COACH
MINNESOTA,2016,Rich,Stenger,ASST_COACH
MINNESOTA,2016,Geralen,Stack-Eaton,ASST_COACH
MINNESOTA,2015,Jenny,Hansen,HEAD_COACH
MINNESOTA,2015,Rich,Stenger,ASST_COACH
MINNESOTA,2015,Geralen,Stack-Eaton,ASST_COACH
