COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
NEWHAMPSHIRE,2025,Lindsey,Bruck Ayotte,HEAD_COACH
NEWHAMPSHIRE,2025,Steve,Avgerinos,ASSOC_HEAD_COACH
NEWHAMPSHIRE,2025,Alyssa,Worthington,ASST_COACH
NEWHAMPSHIRE,2025,Jazmyn,Estrella,ASST_COACH
NEWHAMPSHIRE,2024,Lindsey,Bruck Ayotte,HEAD_COACH
NEWHAMPSHIRE,2024,Steve,Avgerinos,ASSOC_HEAD_COACH
NEWHAMPSHIRE,2024,Jazmyn,Estrella,ASST_COACH
NEWHAMPSHIRE,2024,Olivia,Queri,ASST_COACH
NEWHAMPSHIRE,2023,Lindsey,Bruck Ayotte,HEAD_COACH
NEWHAMPSHIRE,2023,Steve,Avgerinos,ASSOC_HEAD_COACH
NEWHAMPSHIRE,2023,Amanda,Keglovits,ASST_COACH
NEWHAMPSHIRE,2023,Ed,Datti,VOLUNTEER_ASST_COACH
NEWHAMPSHIRE,2023,Olivia,Queri,STUDENT_ASST_COACH
NEWHAMPSHIRE,2022,Lindsey,Bruck Ayotte,HEAD_COACH
NEWHAMPSHIRE,2022,Steve,Avgerinos,ASSOC_HEAD_COACH
NEWHAMPSHIRE,2022,Amanda,Keglovits,ASST_COACH
NEWHAMPSHIRE,2022,Ed,Datti,VOLUNTEER_ASST_COACH
NEWHAMPSHIRE,2022,Olivia,Queri,STUDENT_ASST_COACH
NEWHAMPSHIRE,2021,Lindsey,Bruck Ayotte,HEAD_COACH
NEWHAMPSHIRE,2021,Steve,Avgerinos,ASSOC_HEAD_COACH
NEWHAMPSHIRE,2021,Amanda,Keglovits,ASST_COACH
NEWHAMPSHIRE,2021,Ed,Datti,VOLUNTEER_ASST_COACH
NEWHAMPSHIRE,2020,Lindsey,Bruck Ayotte,HEAD_COACH
NEWHAMPSHIRE,2020,Steve,Avgerinos,ASSOC_HEAD_COACH
NEWHAMPSHIRE,2020,Amanda,Keglovits,ASST_COACH
NEWHAMPSHIRE,2020,Ed,Datti,VOLUNTEER_ASST_COACH
