COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
OREGONSTATE,2025,Tanya,Chaplin,HEAD_COACH
OREGONSTATE,2025,Michael,Chaplin,ASSOC_HEAD_COACH
OREGONSTATE,2025,Brian,Carey,ASST_COACH
OREGONSTATE,2025,Kaytianna,Kell,ASST_COACH
OREGONSTATE,2024,Tanya,Chaplin,HEAD_COACH
OREGONSTATE,2024,Michael,Chaplin,ASSOC_HEAD_COACH
OREGONSTATE,2024,Brian,Carey,ASST_COACH
OREGONSTATE,2024,Kaytianna,Kell,ASST_COACH
OREGONSTATE,2023,Tanya,Chaplin,HEAD_COACH
OREGONSTATE,2023,Michael,Chaplin,ASSOC_HEAD_COACH
OREGONSTATE,2023,Bryan,Raschilla,ASSOC_HEAD_COACH
OREGONSTATE,2023,Lacy,Dagen,VOLUNTEER_ASST_COACH
OREGONSTATE,2022,Tanya,Chaplin,HEAD_COACH
OREGONSTATE,2022,Michael,Chaplin,ASSOC_HEAD_COACH
OREGONSTATE,2022,Bryan,Raschilla,ASSOC_HEAD_COACH
OREGONSTATE,2022,Bekah,Hill,VOLUNTEER_ASST_COACH
OREGONSTATE,2022,Jane,Poniewaz,UNDERGRAD_COACH
OREGONSTATE,2021,Tanya,Chaplin,HEAD_COACH
OREGONSTATE,2021,Michael,Chaplin,ASSOC_HEAD_COACH
OREGONSTATE,2021,Bryan,Raschilla,ASST_COACH
OREGONSTATE,2021,Bekah,Hill,VOLUNTEER_ASST_COACH
OREGONSTATE,2020,Tanya,Chaplin,HEAD_COACH
OREGONSTATE,2020,Michael,Chaplin,ACTING_HEAD_COACH
OREGONSTATE,2020,Brian,Amato,ASST_COACH
OREGONSTATE,2020,Mandi,Rodriguez,INTERIM_ASST_COACH
OREGONSTATE,2019,Tanya,Chaplin,HEAD_COACH
OREGONSTATE,2019,Michael,Chaplin,ASSOC_HEAD_COACH
OREGONSTATE,2019,Brian,Amato,ASST_COACH
OREGONSTATE,2019,Kaytianna,McMillian,VOLUNTEER_ASST_COACH
OREGONSTATE,2018,Tanya,Chaplin,HEAD_COACH
OREGONSTATE,2018,Michael,Chaplin,ASSOC_HEAD_COACH
OREGONSTATE,2018,Brian,Amato,ASST_COACH
OREGONSTATE,2018,Brittany,Harris,VOLUNTEER_ASST_COACH
OREGONSTATE,2017,Tanya,Chaplin,HEAD_COACH
OREGONSTATE,2017,Michael,Chaplin,ASSOC_HEAD_COACH
OREGONSTATE,2017,Brian,Amato,ASST_COACH
OREGONSTATE,2016,Tanya,Chaplin,HEAD_COACH
OREGONSTATE,2016,Michael,Chaplin,ASSOC_HEAD_COACH
OREGONSTATE,2016,Brian,Amato,ASST_COACH
OREGONSTATE,2015,Tanya,Chaplin,HEAD_COACH
OREGONSTATE,2015,Michael,Chaplin,ASSOC_HEAD_COACH
OREGONSTATE,2015,Brian,Amato,ASST_COACH
OREGONSTATE,2014,Tanya,Chaplin,HEAD_COACH
OREGONSTATE,2014,Michael,Chaplin,ASSOC_HEAD_COACH
OREGONSTATE,2014,Brian,Amato,ASST_COACH
OREGONSTATE,2014,Mandi,Rodriguez,VOLUNTEER_ASST_COACH
OREGONSTATE,2013,Tanya,Chaplin,HEAD_COACH
OREGONSTATE,2013,Michael,Chaplin,ASSOC_HEAD_COACH
OREGONSTATE,2013,John,Carney,ASST_COACH
OREGONSTATE,2013,Mandi,Rodriguez,VOLUNTEER_ASST_COACH
OREGONSTATE,2012,Tanya,Chaplin,HEAD_COACH
OREGONSTATE,2012,Michael,Chaplin,ASSOC_HEAD_COACH
OREGONSTATE,2012,John,Carney,ASST_COACH
OREGONSTATE,2012,Jen,Kesler,UNDERGRAD_ASST_COACH
OREGONSTATE,2012,Mandi,Rodriguez,UNDERGRAD_ASST_COACH
OREGONSTATE,2011,Tanya,Chaplin,HEAD_COACH
OREGONSTATE,2011,Michael,Chaplin,ASSOC_HEAD_COACH
OREGONSTATE,2011,John,Carney,ASST_COACH
OREGONSTATE,2011,Kera,Bolen,VOLUNTEER_COACH
OREGONSTATE,2010,Tanya,Chaplin,HEAD_COACH
OREGONSTATE,2010,Michael,Chaplin,ASSOC_HEAD_COACH
OREGONSTATE,2010,John,Carney,ASST_COACH
OREGONSTATE,2010,Kera,Bolen,VOLUNTEER_COACH
