COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
RUTGERS,2026,Anastasia,Candia,HEAD_COACH
RUTGERS,2026,Michael,Rosso,ASST_COACH
RUTGERS,2026,Danielle,DeMarco,ASST_COACH
RUTGERS,2026,Anna,Pagliaro,ASST_COACH
RUTGERS,2025,Anastasia,Candia,ACTING_HEAD_COACH
RUTGERS,2025,Michael,Rosso,ASST_COACH
RUTGERS,2025,Danielle,DeMarco,ASST_COACH
RUTGERS,2025,Stephanie,Zannella,ASST_COACH
RUTGERS,2024,Umme,Salim-Beasley,HEAD_COACH
RUTGERS,2024,Anastasia,Candia,ASSOC_HEAD_COACH
RUTGERS,2024,Michael,Rosso,ASST_COACH
RUTGERS,2024,Danielle,DeMarco,ASST_COACH
RUTGERS,2024,Hannah,Joyner,STUDENT_ASST_COACH
RUTGERS,2023,Umme,Salim-Beasley,HEAD_COACH
RUTGERS,2023,Anastasia,Candia,ASSOC_HEAD_COACH
RUTGERS,2023,Michael,Rosso,ASST_COACH
RUTGERS,2022,Umme,Salim-Beasley,HEAD_COACH
RUTGERS,2022,Anastasia,Candia,ASST_COACH
RUTGERS,2022,Michael,Rosso,ASST_COACH
RUTGERS,2021,Umme,Salim-Beasley,HEAD_COACH
RUTGERS,2021,Anastasia,Candia,ASST_COACH
RUTGERS,2021,Michael,Rosso,ASST_COACH
RUTGERS,2021,Makenzey,Shank,VOLUNTEER_ASST_COACH
RUTGERS,2021,Shannon,Farrell,STUDENT_ASST_COACH
RUTGERS,2020,Umme,Salim-Beasley,HEAD_COACH
RUTGERS,2020,Anastasia,Candia,ASST_COACH
RUTGERS,2020,Michael,Rosso,ASST_COACH
RUTGERS,2020,Lauren,Marinez,VOLUNTEER_ASST_COACH
RUTGERS,2020,Chloe,DeVries,STUDENT_ASST_COACH
RUTGERS,2020,Polina,Poliakova,STUDENT_ASST_COACH
RUTGERS,2019,Umme,Salim-Beasley,HEAD_COACH
RUTGERS,2019,Anastasia,Candia,ASST_COACH
RUTGERS,2019,Michael,Rosso,ASST_COACH
RUTGERS,2018,Louis,Levine,HEAD_COACH
RUTGERS,2018,Anne,Meade,ASST_COACH
RUTGERS,2018,Kaitlin,Dewey,ASST_COACH
RUTGERS,2017,Louis,Levine,HEAD_COACH
RUTGERS,2017,Danielle,D'Elia,ASST_COACH
RUTGERS,2017,Teri,Diamond,ASST_COACH
