COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
SOUTHERNCONN,2026,Corrinne,Tarver,HEAD_COACH
SOUTHERNCONN,2026,Alonna,Kratzer,ASST_COACH
SOUTHERNCONN,2026,DeAvera,Todd,ASST_COACH
SOUTHERNCONN,2025,Jerry,Nelson,ACTING_HEAD_COACH
SOUTHERNCONN,2025,Isabella,Antonangeli,ASST_COACH
SOUTHERNCONN,2025,Wes,Norris,ASST_COACH
SOUTHERNCONN,2025,Kiya,Johnson,ASST_COACH
SOUTHERNCONN,2024,Isabella,Antonangeli,ASST_COACH
SOUTHERNCONN,2023,Byron,Knox,HEAD_COACH
SOUTHERNCONN,2023,Isabella,Antonangeli,ASST_COACH
SOUTHERNCONN,2023,Vasile,Cioana,ASST_COACH
SOUTHERNCONN,2022,Byron,Knox,HEAD_COACH
SOUTHERNCONN,2022,Isabella,Antonangeli,ASST_COACH
SOUTHERNCONN,2021,Byron,Knox,HEAD_COACH
SOUTHERNCONN,2020,Jerry,Nelson,ACTING_HEAD_COACH
SOUTHERNCONN,2018,Jerry,Nelson,HEAD_COACH
SOUTHERNCONN,2018,Linda,Mullin,ASST_COACH
SOUTHERNCONN,2017,Jerry,Nelson,HEAD_COACH
SOUTHERNCONN,2017,Linda,Mullin,ASST_COACH
SOUTHERNCONN,2016,Jerry,Nelson,HEAD_COACH
SOUTHERNCONN,2016,Linda,Mullin,ASST_COACH
SOUTHERNCONN,2015,Jerry,Nelson,HEAD_COACH
SOUTHERNCONN,2015,Linda,Mullin,ASST_COACH
SOUTHERNCONN,2014,Jerry,Nelson,HEAD_COACH
SOUTHERNCONN,2014,Linda,Mullin,ASST_COACH
SOUTHERNCONN,2013,Jerry,Nelson,HEAD_COACH
SOUTHERNCONN,2013,Tara,Michaels,ASST_COACH
SOUTHERNCONN,2013,Linda,Mullin,ASST_COACH
SOUTHERNCONN,2012,Jerry,Nelson,HEAD_COACH
SOUTHERNCONN,2012,Kristan,Silvestri,ASST_COACH
SOUTHERNCONN,2012,Linda,Mullin,ASST_COACH
SOUTHERNCONN,2011,Jerry,Nelson,HEAD_COACH
SOUTHERNCONN,2011,Tara,Michaels,ASST_COACH
SOUTHERNCONN,2011,Linda,Mullin,ASST_COACH
SOUTHERNCONN,2010,Jerry,Nelson,HEAD_COACH
SOUTHERNCONN,2010,Tara,Michaels,ASST_COACH
SOUTHERNCONN,2010,Linda,Mullin,ASST_COACH
SOUTHERNCONN,2009,Jerry,Nelson,HEAD_COACH
SOUTHERNCONN,2009,Tara,Michaels,ASST_COACH
SOUTHERNCONN,2009,Linda,Mullin,ASST_COACH
SOUTHERNCONN,2009,Erika,Pysh,ASST_COACH
SOUTHERNCONN,2008,Jerry,Nelson,HEAD_COACH
