COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
TOWSON,2026,Jay,Ramirez,HEAD_COACH
TOWSON,2026,Ashley,LeVine,ASSOC_HEAD_COACH
TOWSON,2025,Jay,Ramirez,HEAD_COACH
TOWSON,2025,Ashley,LeVine,ASSOC_HEAD_COACH
TOWSON,2025,Jasmine,Kauffman,VOLUNTEER_ASST_COACH
TOWSON,2024,Jay,Ramirez,HEAD_COACH
TOWSON,2024,Ashley,LeVine,ASSOC_HEAD_COACH
TOWSON,2024,Jasmine,Kauffman,VOLUNTEER_ASST_COACH
TOWSON,2023,Jay,Ramirez,HEAD_COACH
TOWSON,2023,Ashley,LeVine,ASSOC_HEAD_COACH
TOWSON,2023,Jasmine,Kauffman,VOLUNTEER_ASST_COACH
TOWSON,2022,Jay,Ramirez,HEAD_COACH
TOWSON,2022,Ashley,LeVine,ASST_COACH
TOWSON,2022,Kristen,Presutti Callihan,VOLUNTEER_ASST_COACH
TOWSON,2021,Jay,Ramirez,HEAD_COACH
TOWSON,2021,Ashley,LeVine,ASST_COACH
TOWSON,2021,Kristen,Presutti Callihan,VOLUNTEER_ASST_COACH
TOWSON,2020,Jay,Ramirez,HEAD_COACH
TOWSON,2020,Ashley,LeVine,ASST_COACH
TOWSON,2020,Kristen,Presutti Callihan,VOLUNTEER_ASST_COACH
TOWSON,2019,Vicki,May,HEAD_COACH
TOWSON,2019,Mary,Fredericks,ASST_COACH
TOWSON,2019,Jason,Fredericks,VOLUNTEER_ASST_COACH
TOWSON,2018,Vicki,May,HEAD_COACH
TOWSON,2018,Jay,Ramirez,ASST_COACH
TOWSON,2017,Vicki,May,HEAD_COACH
TOWSON,2017,Jay,Ramirez,ASST_COACH
TOWSON,2016,Vicki,May,HEAD_COACH
TOWSON,2016,Becky,Schaller,ASST_COACH
TOWSON,2015,Vicki,May,HEAD_COACH
TOWSON,2015,Becky,Schaller,ASST_COACH
TOWSON,2014,Vicki,May,HEAD_COACH
TOWSON,2014,Becky,Schaller,ASST_COACH
TOWSON,2013,Vicki,May,HEAD_COACH
TOWSON,2013,Becky,Schaller,ASST_COACH
TOWSON,2012,Vicki,May,HEAD_COACH
TOWSON,2012,Becky,Schaller,ASST_COACH
TOWSON,2011,Vicki,May,HEAD_COACH
TOWSON,2011,Becky,Schaller,ASST_COACH
TOWSON,2010,Becky,Schaller,VOLUNTEER_ASST_COACH
