COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
UCBERKELEY,2025,Justin,Howell,HEAD_COACH
UCBERKELEY,2025,Elisabeth,Crandall-Howell,HEAD_COACH
UCBERKELEY,2025,John,Carney,ASST_COACH
UCBERKELEY,2025,Seth,Helland,ASST_COACH
UCBERKELEY,2024,Justin,Howell,HEAD_COACH
UCBERKELEY,2024,Elisabeth,Crandall-Howell,HEAD_COACH
UCBERKELEY,2024,John,Carney,ASST_COACH
UCBERKELEY,2024,Nevaeh,DeSouza,ASST_COACH
UCBERKELEY,2023,Justin,Howell,HEAD_COACH
UCBERKELEY,2023,Elisabeth,Crandall-Howell,HEAD_COACH
UCBERKELEY,2023,John,Carney,ASST_COACH
UCBERKELEY,2022,Justin,Howell,HEAD_COACH
UCBERKELEY,2022,Elisabeth,Crandall-Howell,HEAD_COACH
UCBERKELEY,2022,Janelle,McDonald,ASST_COACH
UCBERKELEY,2021,Justin,Howell,HEAD_COACH
UCBERKELEY,2021,Elisabeth,Crandall-Howell,HEAD_COACH
UCBERKELEY,2021,Janelle,McDonald,ASST_COACH
UCBERKELEY,2021,Maleah,Pearson,STUDENT_COACH
UCBERKELEY,2020,Justin,Howell,HEAD_COACH
UCBERKELEY,2020,Elisabeth,Crandall-Howell,HEAD_COACH
UCBERKELEY,2020,Janelle,McDonald,ASST_COACH
UCBERKELEY,2020,Maleah,Pearson,STUDENT_COACH
UCBERKELEY,2020,Cassidy,Keelen,STUDENT_COACH
UCBERKELEY,2019,Justin,Howell,HEAD_COACH
UCBERKELEY,2019,Elisabeth,Crandall-Howell,HEAD_COACH
UCBERKELEY,2019,Janelle,McDonald,ASST_COACH
UCBERKELEY,2019,Maleah,Pearson,STUDENT_COACH
UCBERKELEY,2019,Cassidy,Keelen,STUDENT_COACH
UCBERKELEY,2018,Justin,Howell,HEAD_COACH
UCBERKELEY,2018,Elisabeth,Crandall-Howell,HEAD_COACH
UCBERKELEY,2017,Justin,Howell,HEAD_COACH
UCBERKELEY,2017,Elisabeth,Crandall-Howell,ASSOC_HEAD_COACH
UCBERKELEY,2017,Holly,Thomas,ASST_COACH
UCBERKELEY,2016,Justin,Howell,HEAD_COACH
UCBERKELEY,2016,Elisabeth,Crandall-Howell,ASSOC_HEAD_COACH
UCBERKELEY,2016,Jessa,Hansen Parker,ASST_COACH
UCBERKELEY,2016,Jeffrey,Langenstein,VOLUNTEER_ASST_COACH
UCBERKELEY,2015,Justin,Howell,HEAD_COACH
UCBERKELEY,2015,Elisabeth,Crandall-Howell,ASSOC_HEAD_COACH
UCBERKELEY,2015,Jessa,Hansen Parker,ASST_COACH
UCBERKELEY,2015,Jeffrey,Langenstein,VOLUNTEER_ASST_COACH
UCBERKELEY,2014,Justin,Howell,HEAD_COACH
UCBERKELEY,2014,Elisabeth,Crandall-Howell,ASST_COACH
UCBERKELEY,2014,Jessa,Hansen Parker,ASST_COACH
UCBERKELEY,2013,Justin,Howell,HEAD_COACH
UCBERKELEY,2013,Elisabeth,Crandall-Howell,ASST_COACH
UCBERKELEY,2012,Danna,Durante,HEAD_COACH
UCBERKELEY,2012,Justin,Howell,ASST_COACH
UCBERKELEY,2011,Danna,Durante,HEAD_COACH
UCBERKELEY,2011,Jessica,Kelley,ASST_COACH
UCBERKELEY,2011,Brian,Loomis,ASST_COACH
UCBERKELEY,2011,Jennifer,Grabowski,VOLUNTEER_ASST_COACH
UCBERKELEY,2010,Cari,DuBois,HEAD_COACH
UCBERKELEY,2010,Don,Houlton,ASST_COACH
UCBERKELEY,2010,Jessica,Kelley,ASST_COACH
UCBERKELEY,2009,Cari,DuBois,HEAD_COACH
UCBERKELEY,2009,Scott,Ryan,ASST_COACH
UCBERKELEY,2008,Cari,DuBois,HEAD_COACH
UCBERKELEY,2008,Scott,Ryan,ASST_COACH
UCBERKELEY,2008,Mike,Lynch,ASST_COACH
UCBERKELEY,2007,Cari,DuBois,HEAD_COACH
