COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
UCDAVIS,2026,Tanya,Ho Gomez,HEAD_COACH
UCDAVIS,2026,Rebekah,Hill,ASST_COACH
UCDAVIS,2026,David,Seiler,ASST_COACH
UCDAVIS,2026,Athena,Koehler,ASST_COACH
UCDAVIS,2025,Tanya,Ho Gomez,HEAD_COACH
UCDAVIS,2025,Rebekah,Hill,ASST_COACH
UCDAVIS,2025,David,Seiler,ASST_COACH
UCDAVIS,2025,Athena,Koehler,ASST_COACH
UCDAVIS,2024,Tanya,Ho Gomez,HEAD_COACH
UCDAVIS,2024,Rebekah,Hill,ASST_COACH
UCDAVIS,2024,David,Seiler,ASST_COACH
UCDAVIS,2024,Athena,Koehler,ASST_COACH
UCDAVIS,2024,Kaitlyn,Lyle,STUDENT_ASST_COACH
UCDAVIS,2023,Tanya,Ho Gomez,ACTING_HEAD_COACH
UCDAVIS,2023,David,Seiler,ASST_COACH
UCDAVIS,2023,Athena,Koehler,ASST_COACH
UCDAVIS,2023,Cassie,Hall,ASST_COACH
UCDAVIS,2022,John,Lavallee,HEAD_COACH
UCDAVIS,2022,Tanya,Ho Gomez,ASST_COACH
UCDAVIS,2022,Kaytianna,Kell,ASST_COACH
UCDAVIS,2022,Lacy,Dagen,VOLUNTEER_ASST_COACH
UCDAVIS,2021,John,Lavallee,HEAD_COACH
UCDAVIS,2021,Tanya,Ho Gomez,ASST_COACH
UCDAVIS,2021,Kaytianna,Kell,ASST_COACH
UCDAVIS,2021,Tamara,Ross,VOLUNTEER_ASST_COACH
UCDAVIS,2020,John,Lavallee,HEAD_COACH
UCDAVIS,2020,Carolyn,Kampf,ASST_COACH
UCDAVIS,2020,Jessa,Hansen Parker,ASST_COACH
UCDAVIS,2020,Tamara,Ross,VOLUNTEER_ASST_COACH
UCDAVIS,2020,Aya,Suzuki,UNDERGRAD_ASST_COACH
UCDAVIS,2019,John,Lavallee,HEAD_COACH
UCDAVIS,2019,Carolyn,Kampf,ASST_COACH
UCDAVIS,2019,Jessa,Hansen Parker,ASST_COACH
UCDAVIS,2019,Anna,Shumaker,VOLUNTEER_ASST_COACH
UCDAVIS,2018,John,Lavallee,HEAD_COACH
UCDAVIS,2018,Carolyn,Kampf,ASST_COACH
UCDAVIS,2018,Jessa,Hansen Parker,ASST_COACH
UCDAVIS,2018,Tamara,Ross,VOLUNTEER_ASST_COACH
UCDAVIS,2017,John,Lavallee,HEAD_COACH
UCDAVIS,2017,Carolyn,Kampf,ASST_COACH
UCDAVIS,2017,Jessa,Hansen Parker,ASST_COACH
UCDAVIS,2017,Tamara,Ross,ASST_COACH
UCDAVIS,2016,John,Lavallee,HEAD_COACH
UCDAVIS,2016,Carolyn,Kampf,ASST_COACH
UCDAVIS,2016,Annie,DiLuzio,ASST_COACH
UCDAVIS,2016,Tamara,Ross,ASST_COACH
UCDAVIS,2015,John,Lavallee,HEAD_COACH
UCDAVIS,2015,Carolyn,Kampf,ASST_COACH
UCDAVIS,2015,Annie,DiLuzio,ASST_COACH
UCDAVIS,2015,Tamara,Ross,ASST_COACH
