COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
UMDCOLLEGEPARK,2025,Brett,Nelligan,HEAD_COACH
UMDCOLLEGEPARK,2025,Erinn,Dooley,ASST_COACH
UMDCOLLEGEPARK,2025,JJ,Ferreira,ASST_COACH
UMDCOLLEGEPARK,2025,Morgan,Epps,ASST_COACH
UMDCOLLEGEPARK,2024,Brett,Nelligan,HEAD_COACH
UMDCOLLEGEPARK,2024,Erinn,Dooley,ASST_COACH
UMDCOLLEGEPARK,2024,JJ,Ferreira,ASST_COACH
UMDCOLLEGEPARK,2024,Morgan,Epps,ASST_COACH
UMDCOLLEGEPARK,2023,Brett,Nelligan,HEAD_COACH
UMDCOLLEGEPARK,2023,Erinn,Dooley,ASST_COACH
UMDCOLLEGEPARK,2023,JJ,Ferreira,ASST_COACH
UMDCOLLEGEPARK,2022,Brett,Nelligan,HEAD_COACH
UMDCOLLEGEPARK,2022,Erinn,Dooley,ASST_COACH
UMDCOLLEGEPARK,2022,JJ,Ferreira,ASST_COACH
UMDCOLLEGEPARK,2021,Brett,Nelligan,HEAD_COACH
UMDCOLLEGEPARK,2021,Erinn,Dooley,ASST_COACH
UMDCOLLEGEPARK,2021,JJ,Ferreira,ASST_COACH
UMDCOLLEGEPARK,2019,Brett,Nelligan,HEAD_COACH
UMDCOLLEGEPARK,2019,Erinn,Dooley,ASST_COACH
UMDCOLLEGEPARK,2019,JJ,Ferreira,ASST_COACH
UMDCOLLEGEPARK,2018,Brett,Nelligan,HEAD_COACH
UMDCOLLEGEPARK,2018,Erinn,Dooley,ASST_COACH
UMDCOLLEGEPARK,2018,Evan,Eigner,ASST_COACH
UMDCOLLEGEPARK,2017,Brett,Nelligan,HEAD_COACH
UMDCOLLEGEPARK,2017,Erinn,Dooley,ASST_COACH
UMDCOLLEGEPARK,2017,Evan,Eigner,ASST_COACH
UMDCOLLEGEPARK,2016,Brett,Nelligan,HEAD_COACH
UMDCOLLEGEPARK,2016,Erinn,Dooley,ASST_COACH
UMDCOLLEGEPARK,2016,Evan,Eigner,ASST_COACH
UMDCOLLEGEPARK,2015,Brett,Nelligan,HEAD_COACH
UMDCOLLEGEPARK,2015,Erinn,Dooley,ASST_COACH
UMDCOLLEGEPARK,2015,JJ,Ferreira,ASST_COACH
UMDCOLLEGEPARK,2014,Brett,Nelligan,HEAD_COACH
UMDCOLLEGEPARK,2014,Erinn,Dooley,ASST_COACH
UMDCOLLEGEPARK,2014,JJ,Ferreira,ASST_COACH
UMDCOLLEGEPARK,2013,Brett,Nelligan,HEAD_COACH
UMDCOLLEGEPARK,2013,Erinn,Dooley,ASST_COACH
UMDCOLLEGEPARK,2013,JJ,Ferreira,ASST_COACH
UMDCOLLEGEPARK,2012,Brett,Nelligan,HEAD_COACH
UMDCOLLEGEPARK,2012,JJ,Ferreira,ASST_COACH
