COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
UNCCHAPELHILL,2025,Danna,Durante,HEAD_COACH
UNCCHAPELHILL,2025,Marie,Denick,ASSOC_HEAD_COACH
UNCCHAPELHILL,2025,Sami,Durante-Money,ASST_COACH
UNCCHAPELHILL,2025,Matt,DeGrandpre,ASST_COACH
UNCCHAPELHILL,2024,Danna,Durante,HEAD_COACH
UNCCHAPELHILL,2024,Marie,Denick,ASSOC_HEAD_COACH
UNCCHAPELHILL,2024,Sami,Durante-Money,ASST_COACH
UNCCHAPELHILL,2024,Matt,DeGrandpre,ASST_COACH
UNCCHAPELHILL,2023,Danna,Durante,HEAD_COACH
UNCCHAPELHILL,2023,Marie,Denick,ASST_COACH
UNCCHAPELHILL,2023,Amelia,Hundley,ASST_COACH
UNCCHAPELHILL,2022,Danna,Durante,HEAD_COACH
UNCCHAPELHILL,2022,Marie,Denick,ASST_COACH
UNCCHAPELHILL,2022,Amelia,Hundley,ASST_COACH
UNCCHAPELHILL,2021,Marie,Denick,ACTING_HEAD_COACH
UNCCHAPELHILL,2021,Quest,Hayden,ASST_COACH
UNCCHAPELHILL,2021,Kendal,Moss,ASST_COACH
UNCCHAPELHILL,2019,Derek,Galvin,HEAD_COACH
UNCCHAPELHILL,2019,Marie,Denick,ASSOC_HEAD_COACH
UNCCHAPELHILL,2019,Emma,Sibson,ASST_COACH
UNCCHAPELHILL,2019,Morgan,Lane,VOLUNTEER_ASST_COACH
UNCCHAPELHILL,2019,Mackenzie,Austin,UNDERGRAD_ASST_COACH
UNCCHAPELHILL,2018,Derek,Galvin,HEAD_COACH
UNCCHAPELHILL,2018,Marie,Denick,ASST_COACH
UNCCHAPELHILL,2018,Emma,Sibson,ASST_COACH
UNCCHAPELHILL,2018,Mackenzie,Austin,UNDERGRAD_ASST_COACH
UNCCHAPELHILL,2017,Derek,Galvin,HEAD_COACH
UNCCHAPELHILL,2017,Amy,Smith,ASSOC_HEAD_COACH
UNCCHAPELHILL,2017,Mackenzie,Austin,UNDERGRAD_ASST_COACH
UNCCHAPELHILL,2016,Derek,Galvin,HEAD_COACH
UNCCHAPELHILL,2016,Amy,Smith,ASSOC_HEAD_COACH
UNCCHAPELHILL,2016,Whitnee,Johnson,VOLUNTEER_ASST_COACH
UNCCHAPELHILL,2015,Derek,Galvin,HEAD_COACH
UNCCHAPELHILL,2015,Amy,Smith,ASSOC_HEAD_COACH
UNCCHAPELHILL,2014,Derek,Galvin,HEAD_COACH
UNCCHAPELHILL,2014,Amy,Smith,ASST_COACH
UNCCHAPELHILL,2014,Emily,Cornwell,STUDENT_ASST_COACH
UNCCHAPELHILL,2014,Zoya,Johnson,VOLUNTEER_ASST_COACH
UNCCHAPELHILL,2013,Derek,Galvin,HEAD_COACH
UNCCHAPELHILL,2013,Amy,Smith,ASST_COACH
UNCCHAPELHILL,2013,Zoya,Johnson,VOLUNTEER_ASST_COACH
UNCCHAPELHILL,2012,Derek,Galvin,HEAD_COACH
