COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
WESTERNMICHIGAN,2025,Penny,Jernigan,HEAD_COACH
WESTERNMICHIGAN,2025,Al,Scharns,ASST_COACH
WESTERNMICHIGAN,2025,Don,Houlton,ASST_COACH
WESTERNMICHIGAN,2024,Penny,Jernigan,HEAD_COACH
WESTERNMICHIGAN,2024,Al,Scharns,ASST_COACH
WESTERNMICHIGAN,2024,Don,Houlton,ASST_COACH
WESTERNMICHIGAN,2024,Joshua,Langdon,VOLUNTEER_ASST_COACH
WESTERNMICHIGAN,2023,Penny,Jernigan,HEAD_COACH
WESTERNMICHIGAN,2023,Al,Scharns,ASST_COACH
WESTERNMICHIGAN,2023,Don,Houlton,ASST_COACH
WESTERNMICHIGAN,2023,Joshua,Langdon,VOLUNTEER_ASST_COACH
WESTERNMICHIGAN,2023,Charlotte,Tishkoff,STUDENT_ASST_COACH
WESTERNMICHIGAN,2022,Penny,Jernigan,HEAD_COACH
WESTERNMICHIGAN,2022,Al,Scharns,ASST_COACH
WESTERNMICHIGAN,2022,Joshua,Langdon,VOLUNTEER_ASST_COACH
WESTERNMICHIGAN,2022,Charlotte,Tishkoff,STUDENT_ASST_COACH
WESTERNMICHIGAN,2021,Penny,Jernigan,HEAD_COACH
WESTERNMICHIGAN,2021,Al,Scharns,ASST_COACH
WESTERNMICHIGAN,2020,Penny,Jernigan,HEAD_COACH
WESTERNMICHIGAN,2020,Al,Scharns,ASST_COACH
WESTERNMICHIGAN,2020,Kevin,Anderson,VOLUNTEER_ASST_COACH
WESTERNMICHIGAN,2019,Penny,Jernigan,HEAD_COACH
WESTERNMICHIGAN,2019,Al,Scharns,ASST_COACH
WESTERNMICHIGAN,2019,Kevin,Anderson,VOLUNTEER_ASST_COACH
WESTERNMICHIGAN,2018,Penny,Jernigan,HEAD_COACH
WESTERNMICHIGAN,2018,Al,Scharns,ASST_COACH
WESTERNMICHIGAN,2017,Penny,Jernigan,HEAD_COACH
WESTERNMICHIGAN,2017,Al,Scharns,ASST_COACH
WESTERNMICHIGAN,2017,Risa,Perez,VOLUNTEER_ASST_COACH
WESTERNMICHIGAN,2017,Jessi,Buis,STUDENT_ASST_COACH
WESTERNMICHIGAN,2016,Penny,Jernigan,HEAD_COACH
WESTERNMICHIGAN,2016,Al,Scharns,ASST_COACH
WESTERNMICHIGAN,2016,Shelby,Pflug,STUDENT_ASST_COACH
WESTERNMICHIGAN,2015,Penny,Jernigan,HEAD_COACH
WESTERNMICHIGAN,2015,Al,Scharns,ASST_COACH
WESTERNMICHIGAN,2014,Penny,Jernigan,HEAD_COACH
WESTERNMICHIGAN,2014,Ralph,Rosso,ASST_COACH
WESTERNMICHIGAN,2013,Dave,Kuzara,HEAD_COACH
WESTERNMICHIGAN,2013,Casey Jo,Magee,ASST_COACH
WESTERNMICHIGAN,2012,Dave,Kuzara,HEAD_COACH
WESTERNMICHIGAN,2011,Dave,Kuzara,HEAD_COACH
WESTERNMICHIGAN,2011,Casey Jo,Magee,ASST_COACH
WESTERNMICHIGAN,2011,Sara,Kelly,ASST_COACH
WESTERNMICHIGAN,2011,Erin,Doucey,STUDENT_ASST_COACH
WESTERNMICHIGAN,2010,Dave,Kuzara,HEAD_COACH
WESTERNMICHIGAN,2009,Dave,Kuzara,HEAD_COACH
WESTERNMICHIGAN,2009,Kevin,Anderson,ASST_COACH
WESTERNMICHIGAN,2009,Cezanna,Eckenberg,ASST_COACH
WESTERNMICHIGAN,2008,Terry,Karwoski,HEAD_COACH
WESTERNMICHIGAN,2008,Amy,Elsesser,ASST_COACH
WESTERNMICHIGAN,2008,Kevin,Anderson,ASST_COACH
WESTERNMICHIGAN,2007,Terry,Karwoski,HEAD_COACH
WESTERNMICHIGAN,2007,Amy,Elsesser,ASST_COACH
WESTERNMICHIGAN,2007,Kevin,Anderson,ASST_COACH
WESTERNMICHIGAN,2006,Terry,Karwoski,HEAD_COACH
WESTERNMICHIGAN,2006,Amy,Elsesser,ASST_COACH
WESTERNMICHIGAN,2005,Terry,Karwoski,HEAD_COACH
WESTERNMICHIGAN,2005,Amy,Elsesser,ASST_COACH
WESTERNMICHIGAN,2005,Jason,Grzesikowki,STUDENT_ASST_COACH
