COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
WILLIAMMARY,2026,Kelsey,Mann,HEAD_COACH
WILLIAMMARY,2026,Kendall,George,ASST_COACH
WILLIAMMARY,2026,Caroline,Blatchford,VOLUNTEER_ASST_COACH
WILLIAMMARY,2025,Kelsey,Hinton,HEAD_COACH
WILLIAMMARY,2025,Kendall,George,ASST_COACH
WILLIAMMARY,2024,Kelsey,Hinton,HEAD_COACH
WILLIAMMARY,2024,Brittney,Emmons,ASST_COACH
WILLIAMMARY,2023,Kelsey,Hinton,HEAD_COACH
WILLIAMMARY,2023,Brittney,Emmons,ASST_COACH
WILLIAMMARY,2022,Kelsey,Hinton,HEAD_COACH
WILLIAMMARY,2022,Brittney,Emmons,ASST_COACH
WILLIAMMARY,2021,Kelsey,Hinton,HEAD_COACH
WILLIAMMARY,2021,Brittney,Emmons,ASST_COACH
WILLIAMMARY,2020,Kelsey,Hinton,HEAD_COACH
WILLIAMMARY,2020,Brittney,Emmons,ASST_COACH
WILLIAMMARY,2019,Mary,Lewis,HEAD_COACH
WILLIAMMARY,2019,Kelsey,Hinton,ASST_COACH
WILLIAMMARY,2018,Mary,Lewis,HEAD_COACH
WILLIAMMARY,2018,Kelsey,Hinton,ASST_COACH
WILLIAMMARY,2017,Mary,Lewis,HEAD_COACH
WILLIAMMARY,2017,Kelsey,Hinton,ASST_COACH
WILLIAMMARY,2016,Mary,Lewis,HEAD_COACH
WILLIAMMARY,2016,Kelsey,Hinton,ASST_COACH
WILLIAMMARY,2015,Mary,Lewis,HEAD_COACH
WILLIAMMARY,2015,Tim,Rivera,ASST_COACH
WILLIAMMARY,2014,Mary,Lewis,HEAD_COACH
WILLIAMMARY,2014,Tim,Rivera,ASST_COACH
WILLIAMMARY,2013,Mary,Lewis,HEAD_COACH
WILLIAMMARY,2013,Tim,Rivera,ASST_COACH
WILLIAMMARY,2012,Mary,Lewis,HEAD_COACH
WILLIAMMARY,2012,Tim,Rivera,ASST_COACH
WILLIAMMARY,2011,Mary,Lewis,HEAD_COACH
WILLIAMMARY,2011,Tim,Rivera,ASST_COACH
WILLIAMMARY,2010,Mary,Lewis,HEAD_COACH
WILLIAMMARY,2009,Mary,Lewis,HEAD_COACH
WILLIAMMARY,2008,Mary,Lewis,HEAD_COACH
WILLIAMMARY,2007,Mary,Lewis,HEAD_COACH
WILLIAMMARY,2006,Mary,Lewis,HEAD_COACH
WILLIAMMARY,2005,Mary,Lewis,HEAD_COACH
WILLIAMMARY,2004,Mary,Lewis,HEAD_COACH
WILLIAMMARY,2003,Mary,Lewis,HEAD_COACH
WILLIAMMARY,2002,Mary,Lewis,HEAD_COACH
WILLIAMMARY,2001,Mary,Lewis,HEAD_COACH
WILLIAMMARY,2000,Mary,Lewis,HEAD_COACH
WILLIAMMARY,1999,Mary,Lewis,HEAD_COACH
WILLIAMMARY,1998,Mary,Lewis,HEAD_COACH
WILLIAMMARY,1997,Mary,Lewis,HEAD_COACH
WILLIAMMARY,1996,Mary,Lewis,HEAD_COACH
WILLIAMMARY,1995,Mary,Lewis,HEAD_COACH
