COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
YALE,2025,Andrew,Leis,HEAD_COACH
YALE,2025,Isabelle,Fox,ASST_COACH
YALE,2024,Andrew,Leis,HEAD_COACH
YALE,2024,Isabelle,Fox,ASST_COACH
YALE,2023,Andrew,Leis,HEAD_COACH
YALE,2023,Laura,Burns,ASST_COACH
YALE,2023,Charlotte,Cooperman,VOLUNTEER_ASST_COACH
YALE,2023,Kendal,Toy,VOLUNTEER_ASST_COACH
YALE,2022,Andrew,Leis,HEAD_COACH
YALE,2022,Morgan,Ross,ASST_COACH
YALE,2022,Charlotte,Cooperman,VOLUNTEER_ASST_COACH
YALE,2022,Payton,Bellows,VOLUNTEER_ASST_COACH
YALE,2021,Andrew,Leis,ACTING_HEAD_COACH
YALE,2021,Dawn,Albon,ASST_COACH
YALE,2020,Barbara,Tonry,HEAD_COACH
YALE,2020,Andrew,Leis,ASST_COACH
YALE,2020,Dawn,Albon,ASST_COACH
YALE,2019,Barbara,Tonry,HEAD_COACH
YALE,2019,Dawn,Albon,ASST_COACH
YALE,2018,Barbara,Tonry,HEAD_COACH
YALE,2018,Dawn,Albon,ASST_COACH
YALE,2017,Barbara,Tonry,HEAD_COACH
YALE,2017,Dawn,Albon,ASST_COACH
YALE,2016,Barbara,Tonry,HEAD_COACH
YALE,2016,Jason,Vonk,ASST_COACH
YALE,2016,Dawn,Albon,ASST_COACH
YALE,2016,Anna,Mitescu,VOLUNTEER_ASST_COACH
YALE,2015,Barbara,Tonry,HEAD_COACH
YALE,2015,Jason,Vonk,ASST_COACH
YALE,2015,Dawn,Albon,ASST_COACH
YALE,2015,Anna,Mitescu,VOLUNTEER_ASST_COACH
YALE,2014,Barbara,Tonry,HEAD_COACH
YALE,2014,Jason,Vonk,ASST_COACH
YALE,2014,Lorraine,Galow,ASST_COACH
YALE,2013,Barbara,Tonry,HEAD_COACH
YALE,2013,Jason,Vonk,ASST_COACH
YALE,2013,Diane,Amos,ASST_COACH
YALE,2012,Barbara,Tonry,HEAD_COACH
YALE,2012,Jason,Vonk,ASST_COACH
YALE,2012,Diane,Amos,ASST_COACH
YALE,2011,Barbara,Tonry,HEAD_COACH
YALE,2011,Rodney,Gust,ASST_COACH
YALE,2011,Diane,Amos,ASST_COACH
YALE,2010,Barbara,Tonry,HEAD_COACH
YALE,2010,Rodney,Gust,ASST_COACH
YALE,2010,Diane,Amos,ASST_COACH
YALE,2009,Barbara,Tonry,HEAD_COACH
YALE,2009,Diane,Amos,ASST_COACH
YALE,2008,Barbara,Tonry,HEAD_COACH
YALE,2008,Diane,Amos,ASST_COACH
YALE,2007,Barbara,Tonry,HEAD_COACH
YALE,2007,Diane,Amos,ASST_COACH
YALE,2006,Barbara,Tonry,HEAD_COACH
YALE,2005,Barbara,Tonry,HEAD_COACH
YALE,2004,Barbara,Tonry,HEAD_COACH
YALE,2003,Barbara,Tonry,HEAD_COACH
YALE,2002,Barbara,Tonry,HEAD_COACH
YALE,2001,Barbara,Tonry,HEAD_COACH
YALE,2000,Barbara,Tonry,HEAD_COACH
YALE,1999,Barbara,Tonry,HEAD_COACH
YALE,1998,Barbara,Tonry,HEAD_COACH
YALE,1997,Barbara,Tonry,HEAD_COACH
YALE,1996,Barbara,Tonry,HEAD_COACH
YALE,1995,Barbara,Tonry,HEAD_COACH
YALE,1994,Barbara,Tonry,HEAD_COACH
YALE,1993,Barbara,Tonry,HEAD_COACH
YALE,1992,Barbara,Tonry,HEAD_COACH
YALE,1991,Barbara,Tonry,HEAD_COACH
YALE,1990,Barbara,Tonry,HEAD_COACH
YALE,1989,Barbara,Tonry,HEAD_COACH
YALE,1988,Barbara,Tonry,HEAD_COACH
YALE,1987,Barbara,Tonry,HEAD_COACH
YALE,1986,Barbara,Tonry,HEAD_COACH
YALE,1985,Barbara,Tonry,HEAD_COACH
YALE,1984,Barbara,Tonry,HEAD_COACH
YALE,1983,Barbara,Tonry,HEAD_COACH
YALE,1982,Barbara,Tonry,HEAD_COACH
YALE,1981,Barbara,Tonry,HEAD_COACH
YALE,1980,Barbara,Tonry,HEAD_COACH
YALE,1979,Barbara,Tonry,HEAD_COACH
YALE,1978,Barbara,Tonry,HEAD_COACH
YALE,1977,Barbara,Tonry,HEAD_COACH
YALE,1976,Barbara,Tonry,HEAD_COACH
YALE,1975,Barbara,Tonry,HEAD_COACH
YALE,1974,Barbara,Tonry,HEAD_COACH
YALE,1973,Barbara,Tonry,HEAD_COACH
