COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
BOISESTATE,2025,Noelle,Ball,FR,Bothell,WA,USA,Advantage Gymnastics Academy,"VT,UB,FX"
BOISESTATE,2025,Carly,Buell,SO,Tacoma,WA,USA,Ascend Gymnastics,"VT,UB"
BOISESTATE,2025,Anna,Ferguson,JR,Henderson,NV,USA,Salcianu Elite,"UB,BB,FX"
BOISESTATE,2025,Kylee,Hamby,JR,Edmond,OK,USA,Dynamo Gymnastics,"VT,UB,FX"
BOISESTATE,2025,Bridget,Kemp,FR,Rancho Palos Verdes,CA,USA,Flight School Gymnastics,AA
BOISESTATE,2025,Sydney,Kho,JR,Rosemead,CA,USA,Charter Oaks Gliders,"VT,BB"
BOISESTATE,2025,Julia,Krzywanski,SO,Sarasota,FL,USA,Golden City Gymnastics,AA
BOISESTATE,2025,Sydney,Leitch,JR,Irvine,CA,USA,Azarian Gymnastics,"UB,BB,FX"
BOISESTATE,2025,Emily,Lopez,FIFTH_YR,Mission Viejo,CA,USA,Wildfire Gymnastics,"VT,UB,BB"
BOISESTATE,2025,Emma,Loyim,SR,Mountain Lakes,NJ,USA,North Stars Gymnastics Academy,AA
BOISESTATE,2025,Brantley,Lucas,JR,Athens,GA,USA,Georgia Elite,"VT,BB,FX"
BOISESTATE,2025,Elaina,McGovern,SR,Richmond,KY,USA,Legacy All Sports,"VT,UB,FX"
BOISESTATE,2025,Julia,Melchert,FIFTH_YR,Puyallup,WA,USA,Metropolitan Gymnastics,"BB,FX"
BOISESTATE,2025,Dani,Nakayama,FIFTH_YR,Yorba Linda,CA,USA,Wildfire Gymnastics,"VT,UB,BB"
BOISESTATE,2025,Blake,Pascal,SR,Bechtelsville,PA,USA,Silvia's Gymnastics,"BB,FX"
BOISESTATE,2025,Delaney,Reeves,FR,Roseville,CA,USA,Byers Roseville,AA
BOISESTATE,2025,Kristina,Shchennikova,FR,Morrison,CO,USA,5280 Gymnastics,AA
BOISESTATE,2025,Victoria,Smirnov,SO,Hickory,NC,USA,Shooting Stars Gymnastics,"VT,UB,BB"
BOISESTATE,2025,Alyssa,Vulaj,SR,Yorba Linda,CA,USA,Wildfire Gymnastics,AA
BOISESTATE,2025,Mahleea,Werline,SO,Henderson,NV,USA,Salcianu Elite Gymnastics,"VT,UB,BB"
