COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,COLLEGE_CLASS,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,POSITION
OHIOSTATE,2022,Stephanie,Berger,SO,Boston,MA,USA,,
OHIOSTATE,2022,Elexis,Edwards,SR,Richmond,VA,USA,,
OHIOSTATE,2022,Claire,Gagliardi,GR,Hubbard,OH,USA,,
OHIOSTATE,2022,Savannah,Gonzalez,JR,Indio,CA,USA,,
OHIOSTATE,2022,Kaitlyn,Grimes,SO,LaGrange,IL,USA,,
OHIOSTATE,2022,Alexis,Hankins,SR,Omaha,NE,USA,,
OHIOSTATE,2022,Jenna,Hlavach,SO,Baltimore,MD,USA,,
OHIOSTATE,2022,Ella,Hodges,SR,Winchester,MA,USA,,
OHIOSTATE,2022,Sydney,Jennings,FIFTH_YR,Rochester,MI,USA,,
OHIOSTATE,2022,Raina,Malas,SR,Dublin,OH,USA,,
OHIOSTATE,2022,Colby,Miller,FIFTH_YR,Mason,OH,USA,,
OHIOSTATE,2022,Hannah,Oliveros,JR,Streamwood,IL,USA,,
OHIOSTATE,2022,Miriam,Perez,SR,Los Angeles,CA,USA,,
OHIOSTATE,2022,Maddy,Pike,SO,Mason,OH,USA,,
OHIOSTATE,2022,Emma,Pritchard,JR,Ashville,OH,USA,,
OHIOSTATE,2022,Nicole,Riccardi,JR,East Northport,NY,USA,,
OHIOSTATE,2022,Sarah,Rowland,JR,St. Charles,IL,USA,,
OHIOSTATE,2022,Tory,Vetter,REDSHIRT_FR,Hilliard,OH,USA,,
OHIOSTATE,2022,Jojo,Warga,JR,Girard,OH,USA,,
