COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,COLLEGE_CLASS,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,POSITION
OREGONSTATE,2024,Carley,Beeman,JR,Golden,CO,USA,Colorado Gym Institute,"UB,BB"
OREGONSTATE,2024,Natalie,Briones,JR,Gilbert,AZ,USA,Carter's Gymnastics Academy,AA
OREGONSTATE,2024,Olivia,Buckner,FR,Riverton,UT,USA,Olympus Gymnastics,AA
OREGONSTATE,2024,Jade,Carey,JR,Phoenix,AZ,USA,Arizona Sunrays,AA
OREGONSTATE,2024,Francesca,Caso,SO,Santa Monica,CA,USA,All Olympia Gymnastics Center,AA
OREGONSTATE,2024,Karlie,Chavez,JR,Clovis,CA,USA,CCGI,"VT,FX"
OREGONSTATE,2024,Taylor,DeVries,FR,Roscoe,IL,USA,Legacy Elite Gymnastics,AA
OREGONSTATE,2024,Sophia,Esposito,FR,Melville,NY,USA,New Image Gymnastics,AA
OREGONSTATE,2024,Kaitlin,Garcia,JR,San Diego,CA,USA,Mission Valley YMCA,"VT,FX"
OREGONSTATE,2024,Sydney,Gonzales,SR,Newport Beach,CA,USA,Wildfire Gymnastics,"VT,BB,FX"
OREGONSTATE,2024,Mia,Heather,FR,San Francisco,CA,USA,San Mateo Gymnastics,"UB,BB"
OREGONSTATE,2024,Phoebe,Jakubczyk,JR,Portishead,,GBR,The Academy of Gymnastics,AA
OREGONSTATE,2024,Lauren,Letzsch,JR,Golden,CO,USA,Tigar Gym,"VT,BB,FX"
OREGONSTATE,2024,Jennifer,McMillan,SO,Charlotte,NC,USA,Southeastern Gymnastics,AA
OREGONSTATE,2024,Savannah,Miller,SO,Waterford,MI,USA,Oakland Gymnastics,AA
OREGONSTATE,2024,Sage,Thompson,JR,Lehi,UT,USA,Olympus Gymnastics,AA
OREGONSTATE,2024,Ellie,Weaver,SO,Vancouver,WA,USA,Naydenov Gymnastics,AA
OREGONSTATE,2024,Ariana,Young,SR,San Mateo,CA,USA,San Mateo Gymnastics,AA
