COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ACADEMIC_YEAR,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,EVENT
KENTUCKY,2014,Alyssa,Bertoni,REDSHIRT_FR,Brunswick,MD,USA,,
KENTUCKY,2014,Marissa,Beucler,JR,Fairfield,OH,USA,Cincinnati Gymnastics Academy,
KENTUCKY,2014,Kirsten,Canini,REDSHIRT_FR,Carroll,OH,USA,Gym X-treme,
KENTUCKY,2014,Katie,Carlisle,FR,Newark,OH,USA,Buckeye Gymnastics,
KENTUCKY,2014,Brittany,Furuyama,FR,Houston,TX,USA,Stars Gymnastics,
KENTUCKY,2014,Kayla,Hartley,REDSHIRT_SR,Versailles,KY,USA,Legacy Gymnastics Club,
KENTUCKY,2014,Shelby,Hilton,SR,St. Petersburg,FL,USA,Tampa Bay Turners,
KENTUCKY,2014,Khadijah,Hudson,JR,Hebron,KY,USA,Perfection Gymnastics,
KENTUCKY,2014,Shannon,Mitchell,SR,Bethesda,MD,USA,Hill’s Gymnastics,
KENTUCKY,2014,Tiara,Phipps,JR,San Antonio,TX,USA,National Elite Gymnastics,
KENTUCKY,2014,Taylor,Puryear,SO,Upper Marlboro,MD,USA,,
KENTUCKY,2014,Cori,Rechenmacher,FR,Batavia,IL,USA,,
KENTUCKY,2014,Amy,Roemmele,JR,Commerce Township,MI,USA,Oakland Gymnastics,
KENTUCKY,2014,Sara,Shipley,SR,Coral Springs,FL,USA,American Twisters,
KENTUCKY,2014,Sydney,Waltz,FR,Findlay,OH,USA,Gold Medal Gymnastics,
KENTUCKY,2014,Montana,Whittle,JR,Lincoln,NE,USA,,
