COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,COLLEGE_CLASS,HOME_TOWN,HOME_STATE,HOME_COUNTRY,CLUB,POSITION
OKLAHOMA,2025,Elizabeth,Blessey,FR,Mandeville,LA,USA,North Shore Gymnastics,
OKLAHOMA,2025,Jordan,Bowers,SR,Lincoln,NE,USA,Triniti Gymnastics,AA
OKLAHOMA,2025,Audrey,Davis,GR,Oakland,FL,USA,WOGA Gymnastics,AA
OKLAHOMA,2025,Addison,Fatta,FR,Wrightsville,PA,USA,Prestige Gymnastics,AA
OKLAHOMA,2025,Danae,Fletcher,SR,Philadelphia,PA,USA,MG Elite,AA
OKLAHOMA,2025,Aspen,Lenczner,SO,Oak Creek,WI,USA,Salto Gymnastics,"VT,BB,FX"
OKLAHOMA,2025,Elle,Mueller,FR,Ham Lake,MN,USA,Twin City Twisters,
OKLAHOMA,2025,Lily,Pederson,FR,White Bear Lake,MN,USA,Flips Gymnastics,
OKLAHOMA,2025,Hannah,Scheible,SO,Kimball,MI,USA,All American Flames Gymnastix,AA
OKLAHOMA,2025,Ava,Siegfeldt,JR,Williamsburg,VA,USA,World Class Gymnastics,AA
OKLAHOMA,2025,Danielle,Sievers,SR,Gary,SD,USA,All-American Gymnastics,AA
OKLAHOMA,2025,Kelsey,Slade,FR,Vail,AZ,USA,Arizona Dynamics Gymnastics,
OKLAHOMA,2025,Caitlin,Smith,REDSHIRT_SO,Houston,TX,USA,World Champions Centre,AA
OKLAHOMA,2025,Hurley,Snow,FR,Newcastle,OK,USA,Bart Conner Gymnastics Academy,
OKLAHOMA,2025,Faith,Torrez,JR,Bristol,WI,USA,Legacy Elite Gymnastics,AA
OKLAHOMA,2025,Keira,Wells,SO,Augusta,KS,USA,316 Gymnastics Academy,AA
